"type_searchedVerb","type_selection3"
"divulgar","1. tr. Publicar, extender, poner al alcance del público algo. U. t. c. prnl."
"doblar","1. tr. Aumentar algo, haciéndolo otro tanto más de lo que era. Este año he doblado mis ingresos."
"doler","1. intr. Dicho de una parte del cuerpo: Padecer dolor, mediante causa interior o exterior. Doler la cabeza, los ojos, las manos."
"domar","1. tr. Sujetar, amansar y hacer dócil al animal a fuerza de ejercicio y enseñanza."
"domesticar","1. tr. Reducir, acostumbrar a la vista y compañía del hombre al animal fiero y salvaje."
"dominar","1. tr. Tener dominio sobre algo o alguien."
"dorar","1. tr. Cubrir con oro o con otra sustancia parecida la superficie de algo."
"dormir","1. intr. Hallarse en el estado de reposo que consiste en la inacción o suspensión de los sentidos y de todo movimiento voluntario."
"dormitar","1. intr. Estar o quedarse medio dormido."
"dudar","1. tr. Tener duda sobre algo. Después de dudarlo mucho, aceptó la oferta."
"duplicar","1. tr. Hacer doble algo o multiplicarlo por dos. Han duplicado los gastos. U. t. c. prnl."
"durar","1. intr. Continuar siendo, obrando, sirviendo, etc."
"echar","1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
"economizar","1. tr. ahorrar (‖ reservar parte de los ingresos)."
"edificar","1. tr. Hacer o construir un edificio, o mandarlo construir."
"educar","1. tr. Dirigir, encaminar, doctrinar."
"efectuar","1. tr. Poner por obra o ejecutar algo, especialmente una acción. Efectuaron un reconocimiento del terreno."
"ejecutar","1. tr. Poner por obra algo."
"elegir","1. tr. Escoger o preferir a alguien o algo para un fin."
"elevar","1. tr. levantar (‖ mover hacia arriba). U. t. c. prnl."
"eliminar","1. tr. Quitar o separar algo, prescindir de ello."
"elogiar","1. tr. Hacer elogios de alguien o de algo."
"eludir","1. tr. Evitar con astucia una dificultad o una obligación. Eludir el problema. Eludir impuestos."
"emanar","1. intr. Proceder, derivar, traer origen y principio de algo de cuya sustancia se participa."
"emancipar","1. tr. Libertar de la patria potestad, de la tutela o de la servidumbre. U. t. c. prnl."
"embadurnar","1. tr. Untar, embarrar, manchar, pintarrajear. U. t. c. prnl."
"embalar","1. tr. Disponer en balas o colocar convenientemente dentro de cubiertas los objetos que han de transportarse."
"embanderar","1. tr. Adornar con banderas. U. t. c. prnl."
"embarazar","1. tr. Impedir, estorbar o retardar algo."
"embarrar","1. tr. Untar y cubrir con barro. U. t. c. prnl."
"embarullar","1. tr. coloq. Confundir o mezclar desordenadamente unas cosas con otras."
"embaucar","1. tr. Engañar o alucinar, prevaliéndose de la inexperiencia o candor del engañado."
"embaular","1. tr. Meter dentro de un baúl."
"embeber","1. tr. Dicho de un cuerpo sólido: Absorber a otro líquido. La esponja embebe el agua."
"embelesar","1. tr. Arrebatar o cautivar los sentidos. U. t. c. prnl."
"embellecer","1. tr. Hacer o poner bello algo o a alguien. U. t. c. prnl."
"embestir","1. tr. Ir con ímpetu sobre alguien o sobre algo. El toro embistió al torero. U. t. c. intr. Ese toro no embiste. U. t. en sent. fig. El camión embistió contra la pared."
"embobar","1. tr. Entretener a alguien, tenerlo suspenso y admirado."
"embolsar","1. tr. Guardar algo, especialmente dinero, en la bolsa."
"emborrachar","1. tr. Causar embriaguez."
"emboscar","1. tr. Mil. Poner encubierta una partida de gente para una operación militar. U. t. c. prnl."
"embotar","1. tr. Hacer romos filos y puntas de las armas y otros instrumentos cortantes. U. m. c. prnl."
"embotellar","1. tr. Meter el vino u otro líquido o producto en botellas."
"embravecer","1. tr. Hacer más bravo o enfurecer. U. t. c. prnl. El mar se embraveció a media tarde."
"embriagar","1. tr. Causar embriaguez a alguien."
