"type_searchedVerb","type_selection3"
"resarcir","1. tr. Indemnizar, reparar, compensar un daño, perjuicio o agravio. U. t. c. prnl."
"resbalar","1. intr. Desplazarse involuntariamente sobre una superficie lisa o viscosa sin dejar de rozarla, normalmente con alteración del equilibrio. Resbalan los pies sobre el hielo. U. t. c. prnl."
"reservar","1. tr. Guardar algo para lo futuro."
"resguardar","1. tr. defender (‖ amparar)."
"residir","1. intr. Estar establecido en un lugar."
"resistir","1. tr. Tolerar, aguantar o sufrir."
"resollar","1. intr. Dicho de una persona o de un animal: Absorber y expeler el aire por sus órganos respiratorios."
"resoplar","1. intr. Dar resoplidos."
"respaldar","1. m. Parte del asiento en que descansa la espalda."
"respetar","1. tr. Tener respeto, veneración, acatamiento."
"respirar","1. intr. Dicho de un ser vivo: Absorber el aire, por pulmones, branquias, tráquea, etc., tomando parte de las sustancias que lo componen, y expelerlo modificado. U. t. c. tr."
"resplandecer","1. intr. Dicho de una cosa: Despedir rayos de luz."
"responder","1. tr. Contestar algo para resolver lo que se pregunta o para atender una comunicación. U. t. c. intr."
"restablecer","1. tr. Volver a establecer algo o ponerlo en el estado que antes tenía."
"restar","1. tr. Sacar el residuo de algo, separando una parte del todo."
"restaurar","1. tr. Recuperar o recobrar."
"restringir","1. tr. Ceñir, circunscribir, reducir a menores límites."
"resucitar","1. tr. Devolver la vida a un muerto."
"resumir","1. tr. Reducir a términos breves y precisos, o considerar tan solo y repetir abreviadamente lo esencial de un asunto o materia. U. t. c. prnl."
"retar","1. tr. Desafiar a duelo o pelea, o a competir en cualquier terreno."
"retardar","1. tr. Diferir, detener, entorpecer, dilatar. U. t. c. prnl."
"retener","1. tr. Impedir que algo salga, se mueva, se elimine o desaparezca."
"retirar","1. tr. Apartar o separar a alguien o algo de otra persona o cosa o de un sitio. U. t. c. prnl."
"retomar","1. tr. Volver a tomar, reanudar algo que se había interrumpido."
"retorcer","1. tr. Torcer mucho algo, dándole vueltas alrededor. U. t. c. prnl."
"retornar","1. tr. devolver (‖ restituir)."
"retozar","1. intr. Dicho de una persona o de un animal: Saltar y corretear alegremente."
"retrasar","1. tr. Hacer que algo llegue o suceda más tarde del tiempo debido o acordado. Retrasar el pago, el viaje. U. t. c. prnl."
"retribuir","1. tr. Recompensar o pagar un servicio, favor, etc."
"retroceder","1. intr. Volver hacia atrás."
"retrucar","1. intr. En los juegos de billar y de trucos, dicho de una bola: Volver impelida de la banda y herir a la otra que le causó el movimiento."
"reunir","1. tr. Volver a unir. U. t. c. prnl."
"revelar","1. tr. Descubrir o manifestar lo ignorado o secreto. U. t. c. prnl."
"reventar","1. tr. Deshacer o desbaratar algo aplastándolo con violencia."
"reverberar","1. intr. Dicho de la luz: Reflejarse en una superficie bruñida."
"reverenciar","1. tr. Respetar o venerar."
"revertir","1. intr. Dicho de una cosa: Volver al estado o condición que tuvo antes."
"revisar","1. tr. Ver con atención y cuidado."
"revolcar","1. tr. Derribar a alguien y maltratarlo, pisotearlo, revolverlo."
"revolotear","1. tr. Arrojar algo a lo alto con ímpetu, de suerte que parece que da vueltas."
"revolver","1. tr. Menear algo de un lado a otro, moverlo alrededor o de arriba abajo."
"rezar","1. tr. Dirigir a Dios o a personas santas oraciones de contenido religioso."
"rezongar","1. intr. Gruñir, refunfuñar a lo que se manda, ejecutándolo de mala gana."
"rezumar","1. tr. Dicho de un sólido: Dejar pasar a través de sus poros o grietas gotas de algún líquido. La pared rezuma humedad. U. t. c. intr. El botijo rezuma. U. t. c. prnl. El cántaro se rezuma."
"reír","1. tr. Celebrar con risa algo."
"reñir","1. tr. Reprender o corregir a alguien con algún rigor o amenaza."
"robar","1. tr. Quitar o tomar para sí con violencia o con fuerza lo ajeno."
"robustecer","1. tr. Dar robustez. U. t. c. prnl."
"rociar","1. tr. Esparcir en gotas menudas agua u otro líquido."
"rodar","1. tr. Hacer que un automóvil marche sin rebasar las velocidades prescritas por el fabricante para el rodaje."
"rodear","1. tr. Poner una o varias cosas alrededor de otra. U. t. c. prnl."
"roer","1. tr. Dicho de un animal: Cortar menuda y superficialmente, con los dientes u otros órganos bucales análogos, el alimento."
"rogar","1. tr. Pedir algo a alguien como gracia o favor. Rogamos atención."
"romper","1. tr. Separar con más o menos violencia las partes de un todo, deshaciendo su unión. U. t. c. prnl."
"roncar","1. intr. Hacer ruido bronco con el resuello cuando se duerme."
"rondar","1. tr. Dar vueltas alrededor de algo. La mariposa ronda la luz."
"rozar","1. tr. Limpiar las tierras de las matas y hierbas inútiles antes de labrarlas, bien para que retoñen las plantas o bien para otros fines."
