las reservas , ñongatupykuéra
de el banco central , guapyha apytere _gui
el informe , marandu
divisas de el banco central ,divisas  apyka apytere _gui
su valor depende de el cambio oficial ,i_ py'aguasu osaingo *  jeva oficial _gua
establece el banco central ,omohenda *  apyka apytere
las reservas , ñongatupykuéra
el presidente , mburuvicha
el gobierno , tekuái
de el departamento , teta'i _gui
urgió la necesidad de esta medida legal ,omoragẽkuri *  kotevẽmby ko ta'ãha legal _gui
no puede ,ndokatui *
en su opinión ,i_ ñeimo'ã _me
a el crecimiento económico , mopu'ã económico _me
esta opinión fue ,ko ñeimo'ã ohokuri *
por el presidente , mburuvicha rupi
las provincias catalanas , teta'ikuéra catalanas
un sistema ,un sistema
en el mercado laboral , ñemuha laboral _pe
de el gobierno , tekuái _gua
de el gobierno catalán , tekuái catalán _gua
en este sentido ,ko andu _pe
la ley , tembiapoukapy
en el trabajo , ñemba'apo _pe
a su juicio ,iñ_ apytu'ũ _me
no vamos ,ndorohoi *
por su parte ,i_ pehẽngue rupi
este camino ,ko tape
las pequeñas , mitã'ikuéra
el futuro , tenondegua
de el país , tetã _gua
con los cambios , ñembyekoviakuéra ndive
la cena , karu
esos remedios ,umi pohanohakuéra
cuenta el hecho ,opapa *  jehupyre
en el futuro , tenondegua _pe
la semana , arapokõindy
presentaron a el juez ,okuave'ẽkuri *  yvyrajára _pe
figura la división de la firma ,figura  ñemboja'o  teraguapy _gua
por esta firma ,ko teraguapy rehe
el juez , yvyrajára
las medidas , ta'ãhakuéra
por el gobierno , tekuái rupi
de la firma , teraguapy _gui
su capacidad para ,i_ tembiapokuaa omombyta *
de el gobierno , tekuái _gui
de el mundo , arapy _gui
no ganará ,no ganará
no podrá ,ndokatuit *
de la firma , teraguapy _gua
sus prácticas comerciales ,i_ jepokuaakuéra comerciales
su visión ,i_ póra
sus recursos legales podrían ,i_ poruhakuéra legales podrían
el informe , marandu
a la opinión pública , ñeimo'ã jekuaapyre _me
la urgencia , tagẽ
el mercado laboral , ñemuha laboral
por su parte ,i_ marandu rehe
una nueva ronda ,una ronda pyahu
la bolsa cae , sapikua okúi *
en el año , arajere _pe
considera estos cambios lógicos ,considera ã jevakuéra lógicos
las bolsas europeas , sapikuakuéra europeas
sus normas ,i_ tekorãnguéra
de los negocios , ñemukuéra _gua
el comercio electrónico supera , ñemuha electrónico supera
este mismo año ,ko arajere ae
una maratoniana negociación ,una negociación maratoniana
el interés , kuaase
los agentes sociales volverán , tahachikuéra jojapy ojevyt *
reafirma la relación ,reafirma  jokuaa
el proyecto , jejapose
por el movimiento , mýi rehe
no cobran una indemnización ,no cobran una indemnización
el documento propone , kuatia propone
a el empleo , tembiapo _pe
a las personas , avakuéra _pe
listas de el paro ,listas  pytu'u _gui
subsidio de el paro ,subsidio  pytu'u _gui
de esta forma ,ko ysaja _gui
la firma , teraguapy
a los retos profesionales , ja'okuéra profesionales _pe
de esos compromisos ,umi poroapytĩnguéra _gui
en el subsidio , pytyvõ _me
el carácter obligatorio , reko obligatorio
las sanciones , ñembyepotikuéra
el subsidio , pytyvõ
en unas jornadas ,unas jornadas _pe
radio en el bucle local ,radio  avakua apegua _pe
el estado , ñeĩ
su red ,i_ kyha
este mercado ,ko ñemuha
de la red , kyha _gui
la solución total , ry oĩmbáva
en la red , kyha _pe
como una inversión atractiva ,añemboapyte * una inversión angajuráva
el gobierno debe , porukái debe
marcha de las licencias ,marcha  sãsokuéra _gua
por la llegada , guahẽ rupi
tienen estas licencias ,oguereko * ã sãsokuéra
a la información , momarandu _pe
sobre la oferta , ñekuave'ẽ ári
el mercado , ñemuha
el camino para el crecimiento , tape opyta *  akãrapu'ã
de los ciudadanos , tetaguãnguéra _gua
de el libro , kuatia _gui
abogó por la formación ,abogó  tesape'a _re
en la unión europea , ñomoirũ europea _me
el buen camino , tape marangatu
sobre el impulso , ñemboguata ári
de la ciencia , pokuaa _gua
ofreció el apoyo ,oropojáikuri *  pytyvõ
por el gobierno , tekuái rehe
contribuye a la prosperidad económica ,contribuye  ñemotenonde económica _pe
en este campo ,ko ñu _me
el libro , kuatia
la enseñanza para , mbo'e opyta *
la provisión futura , jegueru upeigua
este documento ,ko kuatia
el conocimiento básico tiende , kuaaha básico omosaingo *
para el director general ,opyta *  mburuvicha pavẽ
el sector productivo , pehẽngue productivo
los agentes sociales deben , tahachikuéra jojapy deben
los intereses generales , kuaasekuéra pavẽ
de la unión europea , ñomoirũ europea _gui
en su opinión ,i_ ñeimo'ã _me
la reunión , ñembuaty
con el dirigente , myenondehára ndive
el interés , kuaase
proceso de el diálogo social ,proceso  ñomongeta jojapy _gui
para el empleo ,omombyta *  tembiapo
la reforma laboral , ñembopyahu laboral
de los acuerdos , oñoñe'ẽnguéra _gua
con los agentes sociales , tahachikuéra jojapy ndive
sobre el empleo , tembiapo ári
el crecimiento , mopu'ã
las relaciones laborales , jokuaakuéra laborales
en la reforma laboral , ñembopyahu laboral _pe
en el trabajo , mba'apoha _pe
de el año , arajere _gua
de el banco , apyka _gui
el motivo principal , apoukaha pu'akave
de el banco , guapyha _gua
el estado dispone , tetã omoĩ *
de las acciones , tembiapokuéra _gua
el gobierno checo , porukái checo
de este banco ,ko guapyha _gua
en este año ,ko arajere _pe
de los objetivos , tekorãnguéra _gui
a el gobierno , tekuái _pe
a el banco , guapyha _pe
a el banco , guapyha _pe
el año , arajere
a todos los ,todos los _pe
desde su director general ,i_ ruvicha pavẽ guive
tenía una plantilla ,aguerekomi * una plantilla
de el presente año , arajere ãgagua _gui
por la reducción , ñemomichĩ rehe
la caja checa , mba'yru checa
de el fin , tenonderã _gua
el banco comercial , guapyha comercial
por el banco belga , apyka belga rupi
el banco , guapyha
establece el cambio ,omohenda *  ñembyekovia
el acuerdo , oñoñe'ẽ
un dividendo especial ,un dividendo poravopyre
de las acciones , tembiapokuéra _gua
el acuerdo , ñe'ẽjoaju
el apoyo , pytyvõ
de las acciones , tembiapokuéra _gua
el presidente , mburuvicha
en una nueva industria ,una industria pyahu _pe
por su parte ,i_ pesẽngue rupi
el director ejecutivo , mburuvicha ejecutivo
en el sector , pehẽngue _pe
con una fuerte presencia ,una presencia mbarete ndive
persona a el año ,persona  arajere _pe
a el año , arajere _pe
la última semana , arapokõindy última
por el consejo supremo , ñemoñe'ẽ supremo rupi
amenaza a la seguridad nacional ,amenaza  kyhyje'ỹ nacional _me
a el tiempo , ára _pe
los efectos negativos , ra'ykuekuéra negativos
el fondo monetario , hugua monetario
de el acuerdo , jurupeteĩ _gua
quiebra de el fondo nacional ,ojoka *  guy nacional _gua
en el banco comercial , guapyha comercial _pe
de el estado , teko _gui
por la policía , tahachi rehe
sobre la inminente quiebra , jeso inminente ári
de estas llamadas ,ã ñehenóikuéra _gui
hasta el fin , tekorã meve
garantizó la solidez ,garantizó  atãngue
de la moneda nacional , pirapire nacional _gui
de la gente , yvypóra _gua
la calma , kirirĩ
administró el fondo nacional ,administró  tugua nacional
este fondo privado ,ko rugua privado
de la población , táva _gui
el gobierno rumano , porukái rumano
sobre los fondos mutuos , huguakuéra mutuos ári
el fraude , pokarẽ
la falsa publicidad , momarandu japu
de su país ,i_ tetã _gui
a los grandes desafíos , jeporohekakuéra poguasu _pe
manifestó a la prensa peruana ,ho'ytakuri *  jopyha peruana _pe
el doctor , pohanohára
la próxima semana , arapokõindy kyta'i
los presidentes , mburuvichakuéra
impulsan sus países ,omomymýi * i_ tetãnguéra
de una intentona golpista ,una intentona golpista _gua
de el parlamento , ñemongeta _gui
su acción ,i_ tembiapo
encabeza el comandante ,omyakã *  mburuvicha
exige el fin de la ley marcial ,exige  hupytypyrã  tembiapoukapy marcial _gua
de el pueblo , táva _gua
la fuente , ykua
su liberación ,i_ jora
una nueva constitución ,una constitución pyahu
a el gobierno democrático , porukái democrático _pe
de el presidente , mburuvicha _gua
por su parte ,i_ marandu rehe
están a la espera ,oime *  ñeha'arõ _me
entrevistará con el presidente estadounidense ,oñomongetat *  mburuvicha estadounidense _ndi
para esta noche ,omombyta * ko pyhare
de el gobernante estadounidense , tendota estadounidense _gui
en la base aérea , guapyha aérea _pe
en el oriente medio , kuarahyresẽ mbytere _me
de la autoridad nacional , mburuvicha nacional _gui
el presidente , mburuvicha
las elecciones , tembiporavokuéra
de la revolución democrática , mbojere democrática _gui
en las intenciones , potakuéra _pe
la campaña , okára
programa de las naciones ,programa  tetãnguéra _gua
para la observación electoral ,ojoko *  ma'ẽ electoral
a el libre voto , poravo jera _pe
los temas , ñe'ẽmbyrãnguéra
a los observadores extranjeros , ma'ẽhakuéra ñande'ỹva _pe
los observadores , ma'ẽhakuéra
para las elecciones ,ojoko *  jeporavokuéra
espera la llegada ,ojerovia *  guahẽ
de la campaña política , okára política _gua
a muchos mexicanos ,muchos mexicanos _pe
de la oposición , ñembohovái _gua
residencia de los pinos ,residencia  kurí'ykuéra _gui
logra una alianza sólida ,logra una alianza mbarete
esta semana ,ko arapokõindy
no hará ninguna alianza ,ndojapoit * ninguna alianza
en los últimos días , árakuéra últimos _pe
no insistirá ,ndotu'uit *
de el poder , pokatu _gua
con la participación , marandu ndive
