ae,solo,solo,R
ae,mismo,mismo,R
ae,libre,libre,R
aguara,orgulloso,orgulloso,R
aguara,vanidoso,vanidoso,R
ahẽ,malo,malo,R
ahẽ,perverso,perverso,R
aipo,ese,ese,R
aipo,desconocido,desconocido,R
aisy,gelatinoso,gelatinoso,R
aisy,resinoso,resinoso,R
aju,maduro,maduro,R
akatúa,derecho,derecho,R
akatúa,diestro,diestro,R
ako,aquél,aquél,R
akua,agudo,agudo,R
akua,puntiagudo,puntiagudo,R
akuruchĩ,acurrucado,acurrucado,R
akuruchĩ,tullido,tullido,R
akuã,veloz,veloz,R
akuã,ligero,ligero,R
akuã,corredor,corredor,R
aky,verde,verde,R
aky,tierno,tierno,R
akãguapy,sereno,sereno,R
akãguapy,moderado,moderado,R
akãguapy,cuerdo,cuerdo,R
akãguapy,prudente,prudente,R
akãguapy,sensato,sensato,R
akãguasu,juicioso,juicioso,R
akãguasu,inteligente,inteligente,R
akãguasu,cabezón,cabezón,R
akãhatã,travieso,travieso,R
akãhatã,cabezudo,cabezudo,R
akãhatã,terco,terco,R
akãhatã,tozudo,tozudo,R
akãhatã,pertinaz,pertinaz,R
akãhatã,revoltoso,revoltoso,R
akãkuchu,atolondrado,atolondrado,R
akãkuchu,tonto,tonto,R
akãnga'u,mareado,mareado,R
akãnundu,febril,febril,R
akãperõ,calvo,calvo,R
akãperõ,pelado,pelado,R
akãperõ,rapado,rapado,R
akãpicha'ĩ,crespo,crespo,R
akãporã,talentoso,talentoso,R
akãporã,inteligente,inteligente,R
akãpyta,prudente,prudente,R
akãpyta,sereno,sereno,R
akãpytã,pelirrojo,pelirrojo,R
akãraku,entusiasmado,entusiasmado,R
akãraku,enamorado,enamorado,R
akãraku,febril,febril,R
akãraku,apasionado,apasionado,R
akãvichãi,despeinado,despeinado,R
akỹ,mojado,mojado,R
akỹ,húmedo,húmedo,R
amandy,lluvioso,lluvioso,R
ambue,otro,otro,R
ambue,diverso,diverso,R
ambue,distinto,distinto,R
ambue,diferente,diferente,R
ambu'a,puntilloso,puntilloso,R
ambu'a,retraído,retraído,R
amo,aquél,aquél,R
amo,aquéllos,aquéllos,R
amyrỹigua,postumo,postumo,R
anambusu,grueso,grueso,R
anga,pobre,pobre,R
anga,pobrecito,pobrecito,R
anga,adoptivo,adoptivo,R
anga,espiritual,espiritual,R
angajuráva,cautivador,cautivador,R
angajuráva,atractivo,atractivo,R
angapyhy,satisfecho,satisfecho,R
ange,anterior,anterior,R
angekói,molesto,molesto,R
angekói,fastidioso,fastidioso,R
angetegua,reciente,reciente,R
apa,tullido,tullido,R
apa,paralítico,paralítico,R
apa,yerto,yerto,R
