las reservas , ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas ,divisas
de ,de
subieron ,ombojupikuri *
millones ,millones
de ,de
dólares ,dólares
y ,ha
de ,de
mayo ,mayo
equivalían ,equivalían
millones ,millones
de ,de
dólares ,dólares
informó ,ombohesape'akuri *
hoy ,ko'ára
un comunicado ,un ñemomarandu
de ,de
el informe , marandu
de ,de
mayo las reservas ,mayo  ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas ,divisas
de ,de
eran ,oha'emi *
de ,de
millones ,millones
de ,de
dólares ,dólares
los activos , activos
divisas ,divisas
poder ,katu
de ,de
y ,ha
de ,de
calculan ,opapa *
dólares ,dólares
estadounidenses ,estadounidenses
y ,ha
su valor depende de el cambio oficial ,i_ py'aguasu osaingo *  ñembyekovia oficial _gua
rublo ,rublo
dólar ,dólar
establece ,omohenda *
las reservas , ñongatupykuéra
oro ,itaju
valoran ,ombohepy *
base ,ropyta
dólares ,dólares
estadounidenses ,estadounidenses
por cada onza ,cada onza rehe
de ,de
oro ,itaju
el presidente , mburuvicha
de ,de
la ,la
cree ,ojerovia *
necesario ,ñeikotevẽva
los permisos , permisos
de ,de
residencia a los inmigrantes ,residencia  inmigrantes _pe
para ,opyta *
poder ,pokatu
a la falta de , de falta _pe
mano ,po
de ,de
obra ,tembiapo
cálculos ,cálculos
de ,de
de ,de
impide ,impide
empleos ,tembiapokuéra
en diversos sectores ,diversos pehẽnguekuéra _pe
urgió la necesidad de esta medida legal ,ombopya'ekuri *  hýi ko ta'ãha legal _gua
una cena ,una karu
por la patronal de , de patronal rupi
la pequeña , mitã'i
y ,ha
mediana ,mediana
empresa ,empresa
la ,la
advirtió a los empresarios ,omomarandukuri *  empresarios _pe
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
con la normativa laboral , normativa laboral _ndi
materia ,mba'e
de ,de
prevención ,prevención
de la siniestralidad , siniestralidad _gua
no puede ,noikatui *
ser ,ser
tarde ,tarde
meses ,jasykuéra
para ,opyta *
un permiso ,un permiso
de ,de
residencia ,tekoha
de ,de
trabajo a un ciudadano polaco ,amba'apo * un tetaguã polaco _me
en un momento ,un sapy'a _pe
de ,de
falta ,falta
de ,de
mano ,po
de ,de
obra ,japopyre
actúa ,omba'apo *
en su opinión ,i_ ñeimo'ã _me
como ,añemboapyte *
freno a el crecimiento económico ,ajurujoko *  ñembotuicha económico _pe
esta opinión fue ,ko ñeimo'ã oha'ekuri *
por el presidente , mburuvicha rehe
de ,de
subrayó ,subrayó
esta falta de ,ko de falta
mano ,avatisoka
de ,de
obra ,tembiapokue
tanto ,tanto
como ,akaru *
no ,no
comenzó en las comarcas ,omboypykuri *  comarcas _pe
de ,de
pero ,jepéramo
ha ,oĩ *
las provincias catalanas , teta'ikuéra catalanas
pidió una reforma ,ojerurekuri * una ñembopyahu
urgente ,pojava
de el sistema , sistema _gui
de ,de
contratación ,contratación
de ,de
extranjeros ,pytagua
un sistema ,un sistema
ágil ,rari
y ,ha
rápido ,kyre'ỹ
para ,omombyta *
a los inmigrantes , inmigrantes _pe
en el mercado laboral , ñemuha laboral _pe
ante ,ante
unas mil personas ,unas tapichakuéra mil
la ministra , ministra
de ,de
y ,ha
el alcalde , alcalde
de ,de
la ,la
de ,de
y ,ha
representación ,ta'anga
de el gobierno catalán , porukái catalán _gui
dio un toque ,ombojárakuri * un jepoko
de ,de
alerta ,atõi
sobre ,sobre
aumento de los accidentes laborales ,amboheta *  accidentes laborales _gui
en este sentido ,ko andu _pe
instó ,instó
empresarios ,empresarios
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
la ley , tembiapoukapy
de ,de
prevención ,prevención
de ,de
riesgos ,kyhyjerãnguéra
en el trabajo , mba'apoha _pe
a su juicio ,iñ_ apytu'ũ _me
no vamos ,nderohoi *
bien ,bien
lo ,lo
respecta a la siniestralidad ,respecta  siniestralidad _pe
por su parte ,i_ vo rupi
la ministra , ministra
animó a las pymes ,omoingovekuri *  pymes _pe
y ,ha
y ,ha
mostró a los empresarios presentes ,mostró  empresarios ãgagua _pe
la disposición , disposición
de ,de
este camino ,ko tape
afirmó ,afirmó
las pequeñas , mitã'ikuéra
y ,ha
medianas ,medianas
empresas ,empresas
son ,pu
el futuro , tenonderã
de el país , tetã _gua
por su capacidad ,i_ tembiapokuaa rehe
para ,ojoko *
y ,ha
con los cambios , ñembyekoviakuéra ndive
está ,oĩ *
la nueva economía , economía pyahu
la cena , karu
la patronal , patronal
representa ,omoha'anga *
más ,más
de ,de
empresas ,empresas
entregó sus premios anuales a las pymes ,ombopojáikuri * hi'_ premios anuales  pymes _pe
han ,oime *
desarrollado ,desarrollado
proyectos ,ñeimo'ãnguéra
más ,más
así ,apyhykuri *
como ,akaru *
distinguió ,ombojoavykuri *
en el apartado periodístico , apartado periodístico _pe
a el suplemento , suplemento _pe
de ,de
de el diario , diario _gua
embargo ,embargo
los abogados , abogados
de la empresa , empresa _gui
indicaron una vez ,indicaron una ha
más ,más
proyectan ,ojapose *
en las apelaciones , apelaciones _pe
para ,opyta *
esos remedios ,umi myatyrõnguéra
extremos ,extremos
y ,ha
justificación ,justificación
efecto ,ra'ykue
de ,de
dijo ,ho'ytakuri *
respecto a la última comparecencia ,respecto  comparecencia última _pe
de la compañía , compañía _gua
no tiene ,norekoi *
cuenta el hecho ,omombe'u *  jehupyre
de ,de
ha ,oime *
ha ,oime *
cometido ,cometido
graves ,pohýi
violaciones ,ñerairõnguéra
legales ,legales
y ,ha
es ,oha'e *
preciso ,preciso
remedios ,pohanohakuéra
serios ,serios
para ,ojoko *
la competencia , competencia
e ,ha
violaciones ,ñerairõnguéra
similares ,similares
en el futuro , tenondegua _pe
la semana , arapokõindy
pasada ,jehasa
de ,de
y ,ha
los gobiernos , porukáikuéra
de ,de
de ,de
los ,los
estados ,tekokuéra
demandaron ,demandaron
presentaron a el juez ,oguerukuri *  yvyrajára _pe
una versión ,una versión
de sus propuestas ,iñ_ propuestas _gua
de ,de
solución ,ry
judicial ,judicial
las ,las
figura la división de la firma ,figura  ñepehẽ'a  teraguapy _gui
dos ,dos
compañías ,compañías
de las empresas , empresas _gua
tomaría ,tomaría
posesión ,jererekoha
de los sistemas operativos , sistemas operativos _gui
por esta firma ,ko teraguapy rehe
y ,ha
usan ,opuru *
ciento ,ciento
de los ordenadores , ordenadores _gua
de ,de
todo ,todo
el mundo , yvy
y ,ha
la ,la
pasaría ,pasaría
todo ,todo
el software , software
de ,de
popular ,ka'avo
suite ,suite
y ,ha
los ,los
demás activos ,demás activos
de la compañía , compañía _gua
pero ,jepéramo
el juez , yvyrajára
de ,de
abril ,abril
dictaminó ,dictaminó
incurrió ,incurrió
prácticas ,jeporukuaa
de ,de
monopolio ,monopolio
opinó ,opinó
las medidas , ta'ãnguéra
no son ,noha'ei *
severas ,tukumbo
y ,ha
manifestó ,ho'ytakuri *
favor ,ñepytyvõ
de otro planteamiento ,otro ñemoĩ _gui
dividiría a la empresa ,dividiría  empresa _pe
compañías ,compañías
los abogados , abogados
de ,de
aseguran ,omyatã *
la división , ñepehẽ'a
de la firma , teraguapy _gui
disminuiría ,disminuiría
su capacidad para ,i_ ha'eve ojoko *
en el mercado , ñemuha _pe
de los programas informáticos , programas informáticos _gua
el letrado , letrado
considera ,considera
la propuesta , propuesta
de ,de
convertiría ,convertiría
la ,la
compañía ,compañía
de el mundo , arapy _gua
no ganará ,no ganará
no podrá ,nopojáirit *
la próxima ronda , ronda kyta'i
de ,de
competencia ,competencia
la ,la
industria de los programas informáticos ,industria  programas informáticos _gui
considera ,considera
la separación , jueja
de la firma , teraguapy _gui
es ,oha'e *
castigo demasiado duro para las infracciones ,anupã * demasiado duro  infracciones g̃uarã
de ,de
las ,las
acusa ,acusa
no ,no
ha ,oime *
sus prácticas comerciales ,i_ jepokuaakuéra comerciales
y ,ha
ha ,oime *
a los fabricantes , fabricantes _pe
de ,de
ordenadores ,ordenadores
mayor ,guasuve
flexibilidad ,flexibilidad
en la elección , jeporavo _pe
de el sistema , sistema _gua
de ,de
operación ,operación
y ,ha
a los consumidores , consumidores _pe
más ,más
opciones ,poravohakuéra
para el uso ,omombyta *  jepokuaa
de ,de
programas ,programas
no ,no
pero ,jepéramo
por otra parte ,otra marandu _re
ha ,oime *
apelará cualquier dictamen ,apelará cualquier dictamen
su visión ,i_ techa
lo ,lo
prolongaría el proceso judicial ,prolongaría  proceso judicial
muchos meses ,muchos jasykuéra
en esa situación ,ku situación _pe
sus recursos legales podrían ,i_ jerekohakuéra legales podrían
tribunales ,tribunales
de ,de
apelación ,apelación
o ,térã
podrían ,podrían
de ,de
una opción ,una poravoha
existe para los grandes casos ,oĩ *  casos tuicha g̃uarã
de ,de
monopolio ,monopolio
el consejo , ñemoñe'ẽ
de ,de
y ,ha
las amenazas , amenazas
cierres ,cierres
parciales ,oĩmba'ỹ
de ,de
las gasolineras son las principales noticias , gasolineras oha'e *  marandukuéra pu'akave
las ,las
abren ,ope'a *
hoy ,ko'ára
los diarios económicos , diarios económicos
titula ,titula
primera ,primera
de ,de
avala la operación ,avala  operación
de ,de
y ,ha
gasolineras ,gasolineras
amenazan con la huelga ,amenazan  huelga ndive
y ,ha
señala ,omoma'ẽ *
cierra otro mal mes con una caída ,omboty * otro jasy mal una je'a ndive
de ,de
en su editorial ,hi'_ editorial _pe
el diario analiza la situación económica de el país , diario analiza  situación económica  tetã _gua
como ,ha'u *
base ,guapyha
el informe , marandu
ayer ,ayer
de ,de
