abacial,abacial,A,Q,0,C,S,0,0
abaciales,abacial,A,Q,0,C,P,0,0
abadenga,abadengo,A,Q,0,F,S,0,0
abadengas,abadengo,A,Q,0,F,P,0,0
abadengo,abadengo,A,Q,0,M,S,0,0
abadengos,abadengo,A,Q,0,M,P,0,0
abandonista,abandonista,A,Q,0,C,S,0,0
abandonistas,abandonista,A,Q,0,C,P,0,0
abarcable,abarcable,A,Q,0,C,S,0,0
abarcables,abarcable,A,Q,0,C,P,0,0
abarcador,abarcador,A,Q,0,M,S,0,0
abarcadora,abarcador,A,Q,0,F,S,0,0
abarcadoras,abarcador,A,Q,0,F,P,0,0
abarcadores,abarcador,A,Q,0,M,P,0,0
abaritonada,abaritonado,A,Q,0,F,S,0,0
abaritonadas,abaritonado,A,Q,0,F,P,0,0
abaritonado,abaritonado,A,Q,0,M,S,0,0
abaritonados,abaritonado,A,Q,0,M,P,0,0
abastecedor,abastecedor,A,Q,0,M,S,0,0
abastecedora,abastecedor,A,Q,0,F,S,0,0
abastecedoras,abastecedor,A,Q,0,F,P,0,0
abastecedores,abastecedor,A,Q,0,M,P,0,0
abatible,abatible,A,Q,0,C,S,0,0
abatibles,abatible,A,Q,0,C,P,0,0
abaxial,abaxial,A,Q,0,C,S,0,0
abaxiales,abaxial,A,Q,0,C,P,0,0
abayada,abayado,A,Q,0,F,S,0,0
abayadas,abayado,A,Q,0,F,P,0,0
abayado,abayado,A,Q,0,M,S,0,0
abayados,abayado,A,Q,0,M,P,0,0
abdominal,abdominal,A,Q,0,C,S,0,0
abdominales,abdominal,A,Q,0,C,P,0,0
abdominogenital,abdominogenital,A,Q,0,C,S,0,0
abdominogenitales,abdominogenital,A,Q,0,C,P,0,0
abductor,abductor,A,Q,0,M,S,0,0
abductora,abductor,A,Q,0,F,S,0,0
abductoras,abductor,A,Q,0,F,P,0,0
abductores,abductor,A,Q,0,M,P,0,0
abeliana,abeliano,A,Q,0,F,S,0,0
abelianas,abeliano,A,Q,0,F,P,0,0
abeliano,abeliano,A,Q,0,M,S,0,0
abelianos,abeliano,A,Q,0,M,P,0,0
abellotada,abellotado,A,Q,0,F,S,0,0
abellotadas,abellotado,A,Q,0,F,P,0,0
