a,a,N,C,F,S,0,0,0
Å,ångström,N,C,M,N,0,0,0
ababa,ababa,N,C,F,S,0,0,0
ababábite,ababábite,N,C,M,S,0,0,0
ababábites,ababábite,N,C,M,P,0,0,0
ababán,ababán,N,C,M,S,0,0,0
ababanes,ababán,N,C,M,P,0,0,0
ababas,ababa,N,C,F,P,0,0,0
ababol,ababol,N,C,M,S,0,0,0
ababoles,ababol,N,C,M,P,0,0,0
abacá,abacá,N,C,M,S,0,0,0
abacás,abacá,N,C,M,P,0,0,0
abacera,abacero,N,C,F,S,0,0,0
abaceras,abacero,N,C,F,P,0,0,0
abacería,abacería,N,C,F,S,0,0,0
abacerías,abacería,N,C,F,P,0,0,0
abacero,abacero,N,C,M,S,0,0,0
abaceros,abacero,N,C,M,P,0,0,0
ábaco,ábaco,N,C,M,S,0,0,0
ábacos,ábaco,N,C,M,P,0,0,0
abad,abad,N,C,M,S,0,0,0
abada,abada,N,C,F,S,0,0,0
abadas,abada,N,C,F,P,0,0,0
abadejo,abadejo,N,C,M,S,0,0,0
abadejos,abadejo,N,C,M,P,0,0,0
abades,abad,N,C,M,P,0,0,0
abadesa,abadesa,N,C,F,S,0,0,0
abadesas,abadesa,N,C,F,P,0,0,0
abadía,abadía,N,C,F,S,0,0,0
abadiado,abadiado,N,C,M,S,0,0,0
abadiados,abadiado,N,C,M,P,0,0,0
abadías,abadía,N,C,F,P,0,0,0
abadiato,abadiato,N,C,M,S,0,0,0
abadiatos,abadiato,N,C,M,P,0,0,0
abajadero,abajadero,N,C,M,S,0,0,0
abajaderos,abajadero,N,C,M,P,0,0,0
abajamiento,abajamiento,N,C,M,S,0,0,0
abajamientos,abajamiento,N,C,M,P,0,0,0
abajeña,abajeño,N,C,F,S,0,0,0
abajeñas,abajeño,N,C,F,P,0,0,0
abajeño,abajeño,N,C,M,S,0,0,0
abajeños,abajeño,N,C,M,P,0,0,0
abaleador,abaleador,N,C,M,S,0,0,0
abaleadora,abaleador,N,C,F,S,0,0,0
abaleadoras,abaleador,N,C,F,P,0,0,0
abaleadores,abaleador,N,C,M,P,0,0,0
abaleadura,abaleadura,N,C,F,S,0,0,0
abaleaduras,abaleadura,N,C,F,P,0,0,0
abaleo,abaleo,N,C,M,S,0,0,0
abaleos,abaleo,N,C,M,P,0,0,0
abalizamiento,abalizamiento,N,C,M,S,0,0,0
abalizamientos,abalizamiento,N,C,M,P,0,0,0
abalorio,abalorio,N,C,M,S,0,0,0
abalorios,abalorio,N,C,M,P,0,0,0
abanderada,abanderado,N,C,F,S,0,0,0
abanderadas,abanderado,N,C,F,P,0,0,0
abanderado,abanderado,N,C,M,S,0,0,0
abanderados,abanderado,N,C,M,P,0,0,0
abanderamiento,abanderamiento,N,C,M,S,0,0,0
abanderamientos,abanderamiento,N,C,M,P,0,0,0
abandonismo,abandonismo,N,C,M,S,0,0,0
abandonismos,abandonismo,N,C,M,P,0,0,0
abandonista,abandonista,N,C,C,S,0,0,0
abandonistas,abandonista,N,C,C,P,0,0,0
abandono,abandono,N,C,M,S,0,0,0
abandonos,abandono,N,C,M,P,0,0,0
abanicazo,abanicazo,N,C,M,S,0,0,0
abanicazos,abanicazo,N,C,M,P,0,0,0
abanico,abanico,N,C,M,S,0,0,0
abanicos,abanico,N,C,M,P,0,0,0
abanillo,abanillo,N,C,M,S,0,0,0
abanillos,abanillo,N,C,M,P,0,0,0
abaniqueo,abaniqueo,N,C,M,S,0,0,0
abaniqueos,abaniqueo,N,C,M,P,0,0,0
abaniquera,abaniquero,N,C,F,S,0,0,0
abaniqueras,abaniquero,N,C,F,P,0,0,0
abaniquería,abaniquería,N,C,F,S,0,0,0
abaniquerías,abaniquería,N,C,F,P,0,0,0
abaniquero,abaniquero,N,C,M,S,0,0,0
abaniqueros,abaniquero,N,C,M,P,0,0,0
abano,abano,N,C,M,S,0,0,0
abanos,abano,N,C,M,P,0,0,0
abanto,abanto,N,C,M,S,0,0,0
abantos,abanto,N,C,M,P,0,0,0
abañador,abañador,N,C,M,S,0,0,0
abañadora,abañador,N,C,F,S,0,0,0
abañadoras,abañador,N,C,F,P,0,0,0
abañadores,abañador,N,C,M,P,0,0,0
abañadura,abañadura,N,C,F,S,0,0,0
abañaduras,abañadura,N,C,F,P,0,0,0
abaratamiento,abaratamiento,N,C,M,S,0,0,0
abaratamientos,abaratamiento,N,C,M,P,0,0,0
abarca,abarca,N,C,F,S,0,0,0
abarcadura,abarcadura,N,C,F,S,0,0,0
abarcaduras,abarcadura,N,C,F,P,0,0,0
abarcamiento,abarcamiento,N,C,M,S,0,0,0
abarcamientos,abarcamiento,N,C,M,P,0,0,0
abarcas,abarca,N,C,F,P,0,0,0
abarloamiento,abarloamiento,N,C,M,S,0,0,0
abarloamientos,abarloamiento,N,C,M,P,0,0,0
abarquillamiento,abarquillamiento,N,C,M,S,0,0,0
abarquillamientos,abarquillamiento,N,C,M,P,0,0,0
abarraganamiento,abarraganamiento,N,C,M,S,0,0,0
abarraganamientos,abarraganamiento,N,C,M,P,0,0,0
abarrancadero,abarrancadero,N,C,M,S,0,0,0
abarrancaderos,abarrancadero,N,C,M,P,0,0,0
abarrancamiento,abarrancamiento,N,C,M,S,0,0,0
abarrancamientos,abarrancamiento,N,C,M,P,0,0,0
abarrotamiento,abarrotamiento,N,C,M,S,0,0,0
abarrotamientos,abarrotamiento,N,C,M,P,0,0,0
abarrote,abarrote,N,C,M,S,0,0,0
abarrotes,abarrote,N,C,M,P,0,0,0
abasí,abasí,N,C,M,S,0,0,0
abasida,abasida,N,C,C,S,0,0,0
abásida,abásida,N,C,C,S,0,0,0
abasidas,abasida,N,C,C,P,0,0,0
abásidas,abásida,N,C,C,P,0,0,0
abasíes,abasí,N,C,M,P,0,0,0
abasís,abasí,N,C,M,P,0,0,0
abastamiento,abastamiento,N,C,M,S,0,0,0
abastamientos,abastamiento,N,C,M,P,0,0,0
abastecedor,abastecedor,N,C,M,S,0,0,0
abastecedora,abastecedor,N,C,F,S,0,0,0
abastecedoras,abastecedor,N,C,F,P,0,0,0
abastecedores,abastecedor,N,C,M,P,0,0,0
abastecimiento,abastecimiento,N,C,M,S,0,0,0
abastecimientos,abastecimiento,N,C,M,P,0,0,0
abastera,abastero,N,C,F,S,0,0,0
abasteras,abastero,N,C,F,P,0,0,0
abastero,abastero,N,C,M,S,0,0,0
abasteros,abastero,N,C,M,P,0,0,0
abasto,abasto,N,C,M,S,0,0,0
abastos,abastos,N,C,M,N,0,0,0
abate,abate,N,C,M,S,0,0,0
abatelengua,abatelengua,N,C,M,S,0,0,0
abatelenguas,abatelengua,N,C,M,P,0,0,0
abates,abate,N,C,M,P,0,0,0
abatí,abatí,N,C,M,S,0,0,0
abatíes,abatí,N,C,M,P,0,0,0
abatimiento,abatimiento,N,C,M,S,0,0,0
abatimientos,abatimiento,N,C,M,P,0,0,0
abatís,abatí,N,C,M,P,0,0,0
abazón,abazón,N,C,M,S,0,0,0
abazones,abazón,N,C,M,P,0,0,0
abba,abba,N,C,M,S,0,0,0
