"type_searchedVerb","type_selection3"
"expresar","1. tr. Manifestar con palabras, miradas o gestos lo que se quiere dar a entender."
"exprimir","1. tr. Extraer el zumo o líquido de una cosa, apretándola o retorciéndola."
"expulsar","1. tr. Arrojar, lanzar algo."
"extender","1. tr. Hacer que algo ocupe un espacio mayor que el que antes ocupaba. U. t. c. prnl."
"exterminar","1. tr. Acabar del todo con algo."
"extirpar","1. tr. Arrancar de cuajo o de raíz."
"extraer","1. tr. sacar (‖ poner algo fuera de donde estaba)."
"extraviar","1. tr. Perder algo, o no saber u olvidar dónde se encuentra. U. t. c. prnl."
"exudar","1. tr. Dicho de un cuerpo: Dejar que salga por sus poros o sus grietas un líquido o una sustancia viscosa."
"eyacular","1. tr. Lanzar con rapidez y fuerza el contenido de un órgano, cavidad o depósito, en particular el semen del hombre o de los animales."
"fabricar","1. tr. Producir objetos en serie, generalmente por medios mecánicos."
"faenar","1. tr. Matar reses y descuartizarlas o prepararlas para el consumo."
"fallar","1. tr. Decidir o determinar un litigio, proceso o concurso. U. t. c. intr."
"fallecer","1. intr. morir (‖ llegar al término de la vida)."
"faltar","1. intr. Dicho de una cualidad o de una circunstancia: No existir en lo que debiera tenerla."
"fastidiar","1. tr. Enfadar, disgustar o ser molesto a alguien."
"fatigar","1. tr. Causar fatiga. U. t. c. prnl."
"favorecer","1. tr. Ayudar o amparar a alguien."
"fechar","1. tr. Poner fecha a un escrito."
"fecundar","1. tr. Dicho de una célula reproductora masculina: Unirse a la femenina para dar origen a un nuevo ser."
"felicitar","1. tr. Manifestar a alguien la satisfacción que se experimenta con motivo de algún suceso fausto para él. U. t. c. prnl."
"festejar","1. tr. Celebrar algo con una fiesta u otra manifestación de alegría o agrado."
"fijar","1. tr. Hincar, clavar, asegurar un cuerpo en otro."
"finalizar","1. tr. Poner o dar fin a algo."
"fingir","1. tr. Dar a entender algo que no es cierto. U. t. c. prnl."
"flagelar","1. tr. Maltratar con azotes. U. t. c. prnl."
"flamear","1. tr. Rociar un alimento con un licor y prenderle fuego. U. t. c. prnl."
"flechar","1. tr. Estirar la cuerda del arco, colocando la flecha para dispararla."
"flexionar","1. tr. Hacer flexiones."
"flirtear","1. intr. coquetear (‖ dar muestras de sentir atracción, o tener una implicación pasajera en un asunto)."
"florear","1. tr. Adornar y guarnecer con flores."
"florecer","1. intr. Echar flor. U. t. c. tr."
"flotar","1. intr. Dicho de un cuerpo: Sostenerse en la superficie de un líquido."
"fluctuar","1. intr. Dicho de un cuerpo: Vacilar sobre las aguas por el movimiento agitado de ellas."
"fluir","1. intr. Dicho de un líquido o de un gas: correr. U. t. en sent. fig. Una masa de gente fluye por la avenida."
"forcejear","1. intr. Hacer fuerza para vencer una resistencia."
"forjar","1. tr. Dar la primera forma con el martillo a cualquier pieza de metal."
"formar","1. tr. Dar forma a algo."
"fornicar","1. intr. Tener ayuntamiento o cópula carnal fuera del matrimonio. U. t. c. tr."
"forrar","1. tr. Poner forro a algo."
"fortalecer","1. tr. Hacer más fuerte o vigoroso. U. t. c. prnl."
"forzar","1. tr. Hacer fuerza o violencia física para conseguir algo que habitualmente no debe ser conseguido por la fuerza. Forzar una puerta."
"fracasar","1. intr. Dicho de una pretensión o de un proyecto: frustrarse (‖ malograrse)."
"fraccionar","1. tr. Dividir algo en partes o fracciones. U. t. c. prnl."
"fracturar","1. tr. Romper o quebrantar con violencia algo. U. t. c. prnl."
"fraguar","1. tr. Forjar metales."
"fraternizar","1. intr. Unirse y tratarse como hermanos."
"fregar","1. tr. Restregar con fuerza una cosa con otra."
"frenar","1. tr. Moderar o parar con el freno el movimiento de una máquina o de un carruaje."
"freír","1. tr. Hacer que un alimento crudo llegue a estar en disposición de poderse comer, teniéndolo el tiempo necesario en aceite o grasa hirviendo. U. t. c. intr. y c. prnl."
"friccionar","1. tr. Restregar, dar friegas."
"frotar","1. tr. Pasar muchas veces algo sobre otra cosa con más o menos fuerza. U. t. c. prnl."
"fruncir","1. tr. Arrugar la frente y las cejas en señal de desabrimiento o de ira."
"fumar","1. intr. Echar o despedir humo."
"funcionar","1. intr. Dicho de una persona, de una máquina, etc.: Ejecutar las funciones que le son propias."
"fundir","1. tr. Derretir y licuar los metales, los minerales u otros cuerpos sólidos. U. t. c. intr. y c. prnl."
"galantear","1. tr. Cortejar a una mujer y decirle galanterías."
"gambetear","1. intr. Hacer gambetas."
"ganguear","1. intr. Hablar con resonancia nasal producida por algún defecto en los conductos de la nariz."
"gemir","1. intr. Dicho de una persona: Emitir sonidos que expresan dolor, pena o placer sexual."
"generalizar","1. tr. Hacer algo público o común. U. t. c. prnl."
"girar","1. tr. Mover una figura o un objeto alrededor de un punto o de un eje."
"glorificar","1. tr. Hacer glorioso algo o a alguien que no lo era."
"gobernar","1. tr. Mandar con autoridad o regir algo. U. t. c. intr."
"golpear","1. tr. Dar un golpe o golpes repetidos. U. t. c. intr."
"gotear","1. intr. impers. Caer gotas pequeñas de lluvia."
"gozar","1. tr. Sentir placer o alegría a causa de algo. Gozó la vista del mar."
"grabar","1. tr. Señalar con incisión o abrir y labrar en hueco o en relieve sobre una superficie un letrero, una figura o una representación de cualquier objeto."
"gritar","1. intr. Levantar la voz más de lo acostumbrado. U. t. c. tr."
"gruñir","1. intr. Dar gruñidos."
"guardar","1. tr. Tener cuidado de algo o de alguien, vigilarlo y defenderlo. Guardar un campo, un rebaño. Guardar a un niño."
"guarecer","1. tr. Acoger a alguien, ponerlo a cubierto de persecuciones o de ataques, preservarlo de algún mal."
"guerrear","1. intr. Hacer guerra. U. t. c. tr."
"guiar","1. tr. Ir delante mostrando el camino."
"guisar","1. tr. Preparar los alimentos sometiéndolos a la acción del fuego."
"guiñar","1. tr. Cerrar un ojo momentáneamente quedando el otro abierto, a veces con disimulo por vía de señal o advertencia."
"gustar","1. tr. Sentir y percibir el sabor de las cosas."
"haber","1. aux. U. para conjugar otros verbos en los tiempos compuestos. Yo he amado. Tú habrás leído."
"habitar","1. tr. Vivir, morar. U. t. c. intr."
"habituar","1. tr. Acostumbrar o hacer que alguien se acostumbre a algo. U. m. c. prnl."
"hablar","1. intr. Emitir palabras."
"hacer","1. tr. Producir algo, darle el primer ser."
"halagar","1. tr. Dar a alguien muestras de afecto o rendimiento con palabras o acciones que puedan serle gratas."
"hallar","1. tr. Dar con alguien o algo que se busca."
"haraganear","1. intr. Rehuir el trabajo."
"hartar","1. tr. Saciar, incluso con exceso, a alguien el apetito de comer o beber. U. t. c. prnl."
"hechizar","1. tr. Ejercer un maleficio sobre alguien por medio de prácticas mágicas."
"heder","1. intr. Despedir un olor muy malo y penetrante."
"herir","1. tr. Dañar a una persona o a un animal produciéndole una herida o una contusión."
"hermosear","1. tr. Hacer o poner hermoso a alguien o algo. U. t. c. prnl."
"hervir","1. intr. Dicho de un líquido: Producir burbujas por la acción del calor."
"hilar","1. tr. Reducir a hilo el lino, cáñamo, lana, seda, algodón, etc."
"hincar","1. tr. Introducir o clavar algo en otra cosa."
"hinchar","1. tr. Hacer que aumente de volumen algún objeto o cuerpo, llenándolo con un fluido, especialmente un gas. U. t. c. prnl."
"hipar","1. intr. Sufrir reiteradamente el hipo."
"hojear","1. tr. Mover o pasar ligeramente las hojas de un libro o de un cuaderno."
"honrar","1. tr. Respetar a alguien."
"horadar","1. tr. Agujerear algo atravesándolo de parte a parte."
"hormiguear","1. intr. Dicho de una parte del cuerpo: Experimentar una sensación de cosquilleo más o menos intenso, semejante a la que resultaría si por ella bulleran o corrieran hormigas."
"hospedar","1. tr. Recibir huéspedes, darles alojamiento. U. t. c. prnl."
"hostigar","1. tr. Dar golpes con una fusta, un látigo u otro instrumento, para hacer mover, juntar o dispersar."
"huir","1. intr. Alejarse deprisa, por miedo o por otro motivo, de personas, animales o cosas, para evitar un daño, disgusto o molestia. U. t. c. prnl. y menos c. tr."
"humanizar","1. tr. Hacer humano, familiar y afable a alguien o algo."
"humear","1. intr. Echar de sí humo. El cigarrillo humea. U. t. c. prnl."
"humedecer","1. tr. Producir o causar humedad en algo. U. t. c. prnl."
"humillar","1. tr. Inclinar o doblar una parte del cuerpo, como la cabeza o la rodilla, especialmente en señal de sumisión y acatamiento."
"hundir","1. tr. Sumir, meter en lo hondo. U. t. c. prnl."
"hurgar","1. tr. Revolver o menear cosas en el interior de algo."
"hurtar","1. tr. Tomar o retener bienes ajenos contra la voluntad de su dueño, sin intimidación en las personas ni fuerza en las cosas."
"igualar","1. tr. Hacer iguales a dos o más personas o cosas en cualidades o valor. U. t. c. prnl."
"iluminar","1. tr. Alumbrar, dar luz o bañar de resplandor."
"ilustrar","1. tr. Dar luz al entendimiento. U. t. c. prnl."
"impacientar","1. tr. Causar impaciencia."
"implorar","1. tr. Pedir con ruegos o lágrimas algo."
"importunar","1. tr. Incomodar o molestar con una pretensión o solicitud insistentes o poco oportunas."
"imposibilitar","1. tr. Quitar la posibilidad de ejecutar o conseguir algo."
"impresionar","1. tr. Fijar por medio de la persuasión, o de una manera conmovedora, en el ánimo de alguien una idea, sentimiento, etc., o hacer que los conciba con fuerza y viveza. U. t. c. prnl."
"impugnar","1. tr. Combatir, contradecir, refutar."
"impulsar","1. tr. Dar empuje para producir movimiento."
"incendiar","1. tr. Prender fuego a algo que no debería quemarse. Incendiar un edificio, las mieses. U. t. c. prnl."
"incinerar","1. tr. Reducir algo, especialmente un cadáver, a cenizas."
"inclinar","1. tr. Apartar algo de su posición perpendicular a otra cosa o al horizonte. U. t. c. prnl."
"incluir","1. tr. Poner algo o a alguien dentro de una cosa o de un conjunto, o dentro de sus límites."
"incomodar","1. tr. Causar incomodidad. U. t. c. prnl."
"incomunicar","1. tr. Privar de comunicación a alguien o algo."
"incorporar","1. tr. Unir una persona o una cosa a otra u otras para que haga un todo con ellas."
"incrementar","1. tr. aumentar (‖ dar mayor extensión). U. t. c. prnl."
"increpar","1. tr. Reprender con dureza y severidad."
"indagar","1. tr. Intentar averiguar algo discurriendo o con preguntas."
"indigestar","1. prnl. Dicho de un alimento o de una comida: No sentar bien."
"infestar","1. tr. Dicho de ciertos organismos patógenos: Invadir un ser vivo y multiplicarse en él, como los parásitos en sus hospedadores."
"inflamar","1. tr. Encender algo que arde con facilidad desprendiendo llamas inmediatamente. U. t. c. prnl."
"inflar","1. tr. Hinchar algo con aire u otro gas. U. t. c. prnl."
"informar","1. tr. Enterar o dar noticia de algo. U. t. c. prnl."
"ingerir","1. tr. Introducir por la boca la comida, bebida o medicamentos."
"ingresar","1. tr. Meter algunas cosas, como el dinero, en un lugar para su custodia. Hoy he ingresado en el banco mil euros."
"iniciar","1. tr. comenzar (‖ dar principio a algo). Iniciar la marcha, la sesión."
"injuriar","1. tr. Agraviar, ultrajar con obras o palabras."
"innovar","1. tr. Mudar o alterar algo, introduciendo novedades."
"inquietar","1. tr. Quitar el sosiego, turbar la quietud. U. t. c. prnl."
"inquirir","1. tr. Indagar, averiguar o examinar cuidadosamente algo."
"insinuar","1. tr. Dar a entender algo sin más que indicarlo o apuntarlo ligeramente."
"insistir","1. intr. Instar reiteradamente."
"instigar","1. tr. Inducir a alguien a una acción, generalmente considerada como negativa. Instigaron al pueblo a pedir la dimisión del alcalde."
"instruir","1. tr. Enseñar, doctrinar."
"insultar","1. tr. Ofender a alguien provocándolo e irritándolo con palabras o acciones."
"intentar","1. tr. Tener ánimo de hacer algo."
"intercalar","1. adj. Interpuesto, injerido."
"intercambiar","1. tr. Hacer cambio recíproco de una cosa o persona por otra u otras."
"interceder","1. intr. Hablar en favor de alguien para conseguirle un bien o librarlo de un mal."
"interceptar","1. tr. Apoderarse de algo antes de que llegue a su destino."
"interrogar","1. tr. Preguntar, inquirir."
"intervenir","1. tr. Examinar y censurar las cuentas con autoridad suficiente para ello."
"intimar","1. tr. Requerir, exigir el cumplimiento de algo, especialmente con autoridad o fuerza para obligar a hacerlo."
"intoxicar","1. tr. Infectar con tóxico, envenenar. U. t. c. prnl."
"intranquilizar","1. tr. Quitar la tranquilidad, inquietar, desasosegar. U. t. c. prnl."
"introducir","1. tr. Conducir a alguien al interior de un lugar. El criado me introdujo en la sala."
"invadir","1. tr. Irrumpir, entrar por la fuerza."
