"type_searchedVerb","type_selection3"
"asesinar","1. tr. Matar a alguien con alevosía, ensañamiento o por una recompensa."
"asesorar","1. tr. Dar consejo o dictamen."
"asfixiar","1. tr. Producir asfixia. U. t. c. prnl."
"asir","1. tr. Tomar o coger con la mano, y, en general, tomar, coger, prender."
"asociar","1. tr. Unir una persona a otra que colabore en el desempeño de algún cargo, comisión o trabajo."
"asomar","1. tr. Sacar o mostrar algo por una abertura o por detrás de alguna parte. Asomar la cabeza a la ventana. U. t. c. prnl."
"aspirar","1. tr. Atraer el aire exterior a los pulmones."
"asquear","1. intr. Dicho de una persona o una cosa: Causar asco. Este trabajo me asquea. U. t. c. tr."
"asustar","1. tr. Dar o causar susto. U. t. c. prnl."
"atacar","1. tr. En un arma de fuego, una mina o un barreno, apretar el taco."
"atajar","1. intr. Ir o tomar por el atajo."
"atar","1. tr. Unir, juntar o sujetar con ligaduras o nudos."
"atascar","1. tr. Obstruir o cegar un conducto con algo. U. m. c. prnl. Atascarse una cañería."
"atemorizar","1. tr. Causar temor a alguien. U. t. c. prnl."
"atender","1. tr. Acoger favorablemente, o satisfacer un deseo, ruego o mandato. U. t. c. intr."
"atenuar","1. tr. Poner tenue, sutil o delgado algo."
"aterrizar","1. intr. Dicho de un avión o de un artefacto volador cualquiera: Posarse, tras una maniobra de descenso, sobre tierra firme o sobre cualquier pista o superficie que sirva a tal fin."
"atestar","1. tr. Henchir alguna cosa hueca, apretando lo que se mete en ella. Atestar de lana un costal."
"atisbar","1. tr. Mirar, observar con cuidado, recatadamente."
"atontar","1. tr. Aturdir o atolondrar. U. t. c. prnl."
"atorar","1. tr. Atascar, obstruir. U. t. c. intr. y c. prnl."
"atormentar","1. tr. Causar dolor o molestia corporal. U. t. c. prnl."
"atraer","1. tr. Dicho de un cuerpo: Acercar y retener en virtud de sus propiedades físicas a otro externo. El imán atrae el hierro."
"atrapar","1. tr. Coger a quien huye o va deprisa."
"atrasar","1. tr. retardar. U. t. c. prnl."
"atronar","1. tr. Asordar o perturbar con ruido como de trueno."
"aturdir","1. tr. Causar aturdimiento. U. t. c. prnl."
"augurar","1. tr. Presagiar, presentir, predecir."
"aullar","1. intr. Dar aullidos."
"aumentar","1. tr. Dar mayor extensión, número o materia a algo. U. t. c. intr. y c. prnl."
"autenticar","1. tr. autentificar."
"aventajar","1. tr. Adelantar, poner en mejor estado, conceder alguna ventaja o preeminencia. U. t. c. prnl."
"aventar","1. tr. Hacer o echar aire a algo."
"avergonzar","1. tr. Causar vergüenza."
"averiguar","1. tr. Inquirir la verdad hasta descubrirla."
"avisar","1. tr. Dar noticia de algún hecho."
"avivar","1. tr. Dar viveza, excitar, animar. Avivó el paso. U. t. c. prnl. La polémica se avivó con la publicación del artículo."
"ayudar","1. tr. Prestar cooperación."
"ayunar","1. intr. Abstenerse total o parcialmente de comer o beber."
"azotar","1. tr. Dar azotes a alguien. U. t. c. prnl."
"azuzar","1. tr. Incitar a los perros para que embistan."
"añadir","1. tr. Agregar, incorporar algo a otra cosa."
"añejar","1. tr. Hacer añejo algo. U. t. c. prnl."
"añorar","1. tr. Recordar con pena la ausencia, privación o pérdida de alguien o algo muy querido. U. t. c. intr."
"bailar","1. intr. Ejecutar movimientos acompasados con el cuerpo, brazos y pies. U. t. c. tr. Bailar una polca."
"bajar","1. intr. Ir o moverse hacia abajo. El río baja entre rocas."
"balancear","1. tr. Hacer que alguien o algo se mueva en vaivén."
"balbucear","1. intr. balbucir. U. t. c. tr."
"barbotar","1. intr. barbotear1. U. t. c. tr."
"barrer","1. tr. Limpiar un lugar arrastrando la suciedad con algo como una escoba."
"batir","1. tr. golpear."
"bautizar","1. tr. Administrar el sacramento del bautismo a alguien."
"bañar","1. tr. Meter a alguien en el agua o en otro líquido, generalmente para lavarlo, para refrescarlo, o con fines medicinales. U. t. c. prnl. Prefiere bañarse por la noche."
"beber","1. intr. Ingerir un líquido. U. t. c. tr."
"bendecir","1. tr. Alabar, engrandecer, ensalzar a alguien."
"beneficiar","1. tr. Hacer bien a alguien o a algo. U. t. c. prnl."
"blanquear","1. tr. Poner blanco algo."
"borbotar","1. intr. borbotear."
"borbotear","1. intr. Dicho de un líquido: Brotar o hervir impetuosa o ruidosamente."
"borrar","1. tr. Hacer desaparecer por cualquier medio lo representado con tiza, tinta, lápiz, etc. U. t. c. prnl."
"bostezar","1. intr. Hacer involuntariamente, abriendo mucho la boca, inspiración lenta y profunda y luego espiración, también prolongada y a veces ruidosa, generalmente por sueño o tedio."
"boyar","1. intr. Mar. Dicho de una embarcación: Volver a flotar después de haber estado en seco."
"bracear","1. intr. Mover repetidamente los brazos, por lo común con esfuerzo o gallardía."
"bramar","1. intr. Dar bramidos."
"brillar","1. intr. Dicho de un cuerpo: Emitir o reflejar luz."
"brincar","1. intr. Dar brincos o saltos."
"bromear","1. intr. Utilizar bromas (‖ chanzas). U. t. c. prnl."
"bufar","1. intr. Dicho de un animal, especialmente de un toro o de un caballo: Resoplar con ira y furor."
"bullir","1. intr. Dicho del agua o de otro líquido: hervir (‖ producir burbujas por la acción del calor)."
"burbujear","1. intr. Hacer burbujas."
"burlar","1. tr. Chasquear, zumbar. U. m. c. prnl."
"buscar","1. tr. Hacer algo para hallar a alguien o algo. Estoy buscando un libro."
"cabecear","1. intr. Mover o inclinar la cabeza, ya a un lado, ya a otro, o moverla reiteradamente hacia delante."
"caber","1. intr. Dicho de una persona o de una cosa: Poder contenerse dentro de algo."
"cabriolar","1. intr. Dar o hacer cabriolas."
"cacarear","1. intr. Dicho de un gallo o de una gallina: Dar voces repetidas."
"caer","1. intr. Dicho de un cuerpo: Moverse de arriba abajo por la acción de su propio peso. U. t. c. prnl."
"cagar","1. intr. malson. Evacuar el vientre. U. t. c. tr. y c. prnl."
"calcular","1. tr. Hacer cálculos (‖ cómputos)."
"calentar","1. tr. Comunicar calor a un cuerpo haciendo que se eleve su temperatura. U. t. c. prnl."
"callar","1. tr. Omitir o no decir algo. U. t. c. prnl."
"calmar","1. tr. Sosegar, adormecer, templar a alguien o algo. U. t. c. prnl."
"calumniar","1. tr. Atribuir falsa y maliciosamente a alguien palabras, actos o intenciones deshonrosas."
"cambiar","1. tr. Dejar una cosa o situación para tomar otra. U. t. c. intr. y c. prnl. Cambiar de nombre, lugar, destino, oficio, vestido, opinión, gusto, costumbre."
"caminar","1. tr. Andar determinada distancia. Hoy he caminado diez kilómetros."
"canjear","1. tr. En la diplomacia, la milicia y el comercio, hacer canje de una persona o cosa por otra."
"cansar","1. tr. Causar cansancio a alguien. U. t. c. prnl."
"cantar","1. intr. Dicho de una persona: Producir con la voz sonidos melodiosos, formando palabras o sin formarlas. Cantar con buena voz."
"capacitar","1. tr. Hacer a alguien apto, habilitarlo para algo. U. t. c. prnl."
"captar","1. tr. Percibir algo por medio de los sentidos o de la inteligencia, percatarse, comprender. Captar un ruido, un propósito oculto."
"capturar","1. tr. Apresar o hacer prisionero a alguien, especialmente a un delincuente."
"carcomer","1. tr. Dicho de la carcoma: Roer la madera."
"cardar","1. tr. Preparar con la carda una materia textil para el hilado."
"carear","1. tr. Tomar declaración a una persona en presencia de otra, o a dos personas a la vez, con el fin de desentrañar la verdad de unos hechos sobre los que han dado versiones contradictorias. Fue necesario carear al primer testigo con el segundo porque sus relatos no coincidían en nada."
"cargar","1. tr. Poner o echar peso sobre alguien o sobre una bestia."
"casar","1. intr. Contraer matrimonio. U. m. c. prnl."
"castellanizar","1. tr. Dar carácter castellano a algo o a alguien. U. t. c. prnl."
"castigar","1. tr. Ejecutar algún castigo en un culpado."
"causar","1. tr. Dicho de una causa: Producir su efecto."
"cautivar","1. tr. Aprisionar al enemigo en la guerra, privándole de libertad."
"cavar","1. tr. Levantar y mover la tierra con la azada, el azadón u otro instrumento semejante."
"cazar","1. tr. Buscar o perseguir aves, fieras y otras muchas clases de animales para cobrarlos o matarlos."
"cebar","1. tr. Dar comida a los animales para aumentar su peso."
"cecear","1. intr. Fon. Pronunciar con un sonido ciceante el fonema representado por las letras s, z o c seguida de e o i."
"ceder","1. tr. Dar, transferir o traspasar a alguien una cosa, acción o derecho."
"cegar","1. tr. Quitar la vista a alguien."
"celebrar","1. tr. Ensalzar públicamente a un ser sagrado o un hecho solemne, religioso o profano, dedicando uno o más días a su recuerdo. Celebran la Pascua."
"cenar","1. m. desus. cena1."
"centellear","1. intr. Despedir destellos vivos y rápidos de manera intermitente. U. t. en sent. fig."
"centrar","1. tr. Colocar algo en el centro o de forma equidistante entre dos extremos."
"cernir","1. tr. cerner."
"cerrar","1. tr. Asegurar con cerradura, pasador, pestillo, tranca u otro instrumento, una puerta, ventana, tapa, etc., para impedir que se abra."
"cesar","1. intr. Dicho de una cosa: Interrumpirse o acabarse. La lluvia no cesó hasta la noche."
"chapuzar","1. tr. Meter a alguien de cabeza en el agua. U. t. c. intr. y c. prnl."
"charlar","1. intr. Conversar, platicar."
"chicotear","1. tr. Arg., Bol., Chile, Ec., El Salv., Guat., Hond., Méx., Nic., Par., Perú y Ur. Dar chicotazos."
"chillar","1. intr. Dar chillidos."
"chirriar","1. intr. Dicho de una cosa: Hacer un ruido agudo, continuado y desagradable, generalmente al rozar con otra cosa. La puerta, los frenos chirrían."
"chispear","1. intr. impers. Llover muy poco, cayendo solo algunas gotas pequeñas."
"chisporrotear","1. intr. coloq. Dicho del fuego o de un cuerpo encendido: Despedir chispas reiteradamente."
"chocar","1. intr. Dicho de dos cosas: Encontrarse violentamente una con otra, como una bala contra la muralla, un buque con otro, etc."
"chorrear","1. intr. Dicho de un líquido: Caer formando chorro."
"chupar","1. tr. Sacar o traer con los labios y la lengua el jugo o la sustancia de algo. U. t. c. intr."
"circular","1. adj. Perteneciente o relativo al círculo."
"circuncidar","1. tr. Cortar circularmente una porción del prepucio a alguien."
"circundar","1. tr. Cercar, rodear algo o a alguien."
"clarificar","1. tr. Iluminar, alumbrar."
"clausurar","1. tr. cerrar (‖ poner fin)."
"clavar","1. tr. Introducir un clavo u otra cosa aguda, a fuerza de golpes, en un cuerpo."
"cobijar","1. tr. Dar refugio, guarecer a alguien, generalmente de la intemperie. U. t. c. prnl."
"cocear","1. intr. Dar o tirar coces."
"cocer","1. tr. Hacer comestible un alimento crudo sometiéndolo a ebullición o a la acción del vapor."
"cocinar","1. tr. Guisar, aderezar los alimentos. U. t. c. intr."
"codiciar","1. tr. Desear con ansia riquezas u otras cosas."
"coger","1. tr. Asir, agarrar o tomar algo o a alguien. U. t. c. prnl."
"cohabitar","1. intr. Habitar juntamente con otra u otras personas."
"coincidir","1. intr. Dicho de una cosa: Convenir con otra, ser conforme con ella."
"colaborar","1. intr. Trabajar con otra u otras personas en la realización de una obra."
"colar","1. tr. Conferir canónicamente un beneficio eclesiástico."
"colgar","1. tr. Suspender algo o a alguien sin que llegue al suelo. U. t. c. prnl. Colgarse de una cuerda."
"colmar","1. tr. Llenar una medida, un cajón, un cesto, etc., de modo que lo que se echa en ellos exceda su capacidad y levante más que los bordes."
"colocar","1. tr. Poner a alguien o algo en su debido lugar. U. t. c. prnl."
"colorear","1. tr. Dar color a una cosa o teñirla."
"columpiar","1. tr. Impulsar a quien está sobre un columpio. U. t. c. prnl."
"combar","1. tr. Torcer, encorvar algo, como la madera o el hierro. U. t. c. prnl."
"comenzar","1. tr. empezar (‖ dar principio)."
"comer","1. tr. Masticar y deglutir un alimento sólido. U. t. c. intr."
"comerciar","1. intr. Dedicarse a la compraventa o el intercambio de bienes o servicios."
"compadecer","1. tr. Sentir lástima o pena por la desgracia o el sufrimiento ajenos. Te compadezco. Compadecemos vuestras desdichas. U. m. c. prnl. Compadecerse de alguien."
"comparar","1. tr. Analizar con atención una cosa o a una persona para establecer sus semejanzas o diferencias con otra. Compara tu situación actual con la que tenías hace unos años."
"completar","1. tr. Añadir a una magnitud o cantidad las partes que le faltan."
"complicar","1. tr. Mezclar o unir cosas diversas entre sí."
"componer","1. tr. Formar de varias cosas una, juntándolas y colocándolas con cierto modo y orden."
"comprar","1. tr. Obtener algo por un precio."
"comprender","1. tr. Abrazar, ceñir o rodear por todas partes algo."
"comprometer","1. tr. Poner de común acuerdo en manos de un tercero la determinación de la diferencia, pleito, etc., sobre que se contiende. U. t. c. prnl."
"computar","1. tr. Contar o calcular algo numéricamente, p. ej., los años, el tiempo o la edad."
"comunicar","1. tr. Hacer a una persona partícipe de lo que se tiene."
"conceder","1. tr. Dar, otorgar, hacer merced y gracia de algo."
"concluir","1. tr. Acabar o finalizar algo. Concluí mi exposición. U. t. c. intr. Medidas para concluir con el exceso de velocidad en carretera."
"concurrir","1. intr. Dicho de diferentes personas, sucesos o cosas: Juntarse en un mismo lugar o tiempo."
"condensar","1. tr. Convertir un gas en líquido o en sólido. U. t. c. prnl."
"condimentar","1. tr. sazonar (‖ dar sazón)."
"conducir","1. tr. Transportar a alguien o algo de una parte a otra."
"confeccionar","1. tr. Hacer una cosa material, especialmente algo compuesto de varios elementos, como un licor, un dulce, un veneno o una prenda de vestir."
"confesar","1. tr. Dicho de una persona: Expresar voluntariamente sus actos, ideas o sentimientos verdaderos. U. t. c. prnl."
"confiar","1. tr. Encargar o poner al cuidado de alguien algún negocio u otra cosa."
"confirmar","1. tr. Corroborar la verdad, certeza o el grado de probabilidad de algo."
"confundir","1. tr. Mezclar cosas diversas de manera que no puedan reconocerse o distinguirse. La oscuridad confunde los contornos de las cosas. U. m. c. prnl. Sus voces se confundían en el griterío."
"congelar","1. tr. Helar un líquido. U. t. c. prnl."
"congratular","1. tr. Alegrar a alguien o producirle alegría. Me congratula oírte."
"conocer","1. tr. Averiguar por el ejercicio de las facultades intelectuales la naturaleza, cualidades y relaciones de las cosas."
"conseguir","1. tr. Alcanzar, obtener o lograr lo que se pretende o desea."
"consentir","1. tr. Permitir algo o condescender en que se haga. U. t. c. intr."
"conservar","1. tr. Mantener o cuidar de la permanencia o integridad de algo o de alguien. U. t. c. prnl."
"consolar","1. tr. Aliviar la pena o aflicción de alguien. U. t. c. prnl."
"construir","1. tr. Hacer de nueva planta una obra de arquitectura o ingeniería, un monumento o en general cualquier obra pública."
"contagiar","1. tr. Transmitir una enfermedad a alguien. U. t. en sent. fig. Nos contagió su entusiasmo."
"contaminar","1. tr. Alterar nocivamente la pureza o las condiciones normales de una cosa o un medio por agentes químicos o físicos. U. t. c. prnl."
"contar","1. tr. Numerar o computar las cosas considerándolas como unidades homogéneas. Contar los días, las ovejas."
"contemplar","1. tr. Poner la atención en algo material o espiritual."
"contestar","1. tr. Decir o escribir algo para resolver lo que se pregunta o para atender una comunicación. U. t. c. intr. Contestó con palabras airadas. Contestó a los periodistas."
"contradecir","1. tr. Dicho de una persona: Decir lo contrario de lo que otra afirma, o negar lo que da por cierto. U. t. c. prnl."
"conversar","1. intr. Dicho de una o de varias personas: Hablar con otra u otras."
"convertir","1. tr. Hacer que alguien o algo se transforme en algo distinto de lo que era. La convivencia los convirtió en buenos amigos. U. t. c. prnl. La piedra se ha convertido en polvo."
"convidar","1. tr. Dicho de una persona: Rogar a otra que la acompañe a comer o a una función o a cualquier otra cosa que se haga por vía de obsequio."
"cooperar","1. intr. Obrar juntamente con otro u otros para la consecución de un fin común. Varios países cooperan para erradicar el narcotráfico."
"corcovear","1. intr. Dar corcovos."
"corregir","1. tr. Enmendar lo errado."
