"type_searchedVerb","type_selection3"
"abandonar","1. tr. Dejar solo algo o a alguien alejándose de ello o dejando de cuidarlo. Han abandonado este edificio."
"abanicar","1. tr. Hacer aire a alguien o a algo con el abanico u otra cosa. U. m. c. prnl."
"abaratar","1. tr. Hacer algo barato o más barato o bajar su precio. Han abaratado el pan. U. t. c. prnl."
"abarcar","1. tr. Ceñir algo con los brazos o con la mano."
"abastecer","1. tr. Proveer a alguien o a algo de bastimentos, víveres u otras cosas necesarias. U. t. c. prnl."
"abatatar","1. tr. coloq. Arg., Bol., Par. y Ur. Turbar, apocar, confundir. U. t. c. prnl."
"abatir","1. tr. Derribar algo, derrocarlo, echarlo por tierra. U. t. c. prnl."
"abdicar","1. tr. Dicho de un monarca: Ceder la soberanía de su reino o su corona a otro, o renunciar a ella. Abdicó la corona. U. m. c. intr. Abdicó en su hijo."
"ablandar","1. tr. Poner blando algo. U. t. c. prnl."
"abochornar","1. tr. Dicho del excesivo calor: Causar bochorno a alguien o algo. U. t. c. prnl."
"abollar","1. tr. Producir una depresión en una superficie con un golpe o apretándola. U. t. c. prnl."
"abominar","1. tr. Condenar y maldecir a alguien o algo por considerarlo malo o perjudicial. U. t. c. intr. Abominar de la codicia."
"abortar","1. intr. Dicho de una mujer o de un animal hembra: Interrumpir de forma natural o provocada, el desarrollo del feto durante el embarazo. U. t. c. tr. Abortó el hijo que esperaba."
"abrazar","1. tr. Ceñir con los brazos. U. t. c. prnl."
"abrevar","1. tr. Dar de beber, principalmente al ganado."
"abreviar","1. tr. Hacer breve, acortar, reducir a menos tiempo o espacio."
"abrigar","1. tr. Dicho de una formación del terreno, de una construcción, etc.: Resguardar algo o a alguien. Una trinchera abrigaba al reportero de los tiros."
"abrir","1. tr. Descubrir o hacer patente lo que está cerrado u oculto. Abrir una caja. Abrir un aposento. U. t. c. prnl."
"absorber","1. tr. Dicho de una sustancia sólida o de un líquido: Atraer y retener, respectivamente, un líquido o un gas o vapor."
"abultar","1. tr. Aumentar el bulto de algo."
"abundar","1. tr. p. us. Dotar en abundancia."
"aburrir","1. tr. Molestar, cansar, fastidiar."
"acabar","1. tr. Poner o dar fin a algo. U. t. c. prnl."
"acallar","1. tr. Hacer callar."
"acariciar","1. tr. Hacer caricias a alguien o algo."
"acarrear","1. tr. Transportar en carro."
"acatar","1. tr. Tributar homenaje de sumisión y respeto."
"acceder","1. intr. Consentir en lo que alguien solicita o quiere."
"acechar","1. tr. Observar, aguardar cautelosamente con algún propósito."
"acelerar","1. tr. Dar celeridad. U. t. c. prnl."
"aceptar","1. tr. Recibir voluntariamente o sin oposición lo que se da, ofrece o encarga."
"acercar","1. tr. Poner cerca o a menor distancia de lugar o tiempo. Acercó la radio para escuchar las noticias. U. t. c. prnl. Se acercan las vacaciones de Navidad. U. t. en sent. fig. Los dos países se han acercado políticamente."
"acertar","1. tr. Dar a una incógnita una respuesta correcta o que resulta cierta. Acertó la adivinanza. U. t. c. intr. Acertó en su previsión."
"achatar","1. tr. Poner chato algo. U. t. c. prnl."
"achicar","1. tr. Amenguar el tamaño, dimensión o duración de algo. U. t. c. prnl."
"acibarar","1. tr. Echar acíbar en algo."
"acicalar","1. tr. Arreglar o aderezar a alguien, poniéndole productos cosméticos, peinándolo, etc. U. m. c. prnl."
"aclarar","1. tr. Disipar o quitar lo que ofusca la claridad o transparencia de algo. U. t. c. prnl."
"acobardar","1. tr. Amedrentar, causar o meter miedo. U. t. c. intr. y c. prnl."
"acoger","1. tr. Dicho de una persona: Admitir en su casa o compañía a alguien."
"acometer","1. tr. Embestir con ímpetu y ardimiento. El batallón acometió al enemigo."
"acomodar","1. tr. Colocar algo de modo que se ajuste o adapte a otra cosa."
"acompañar","1. tr. Estar o ir en compañía de otra u otras personas. U. t. c. prnl."
"acontecer","1. intr. suceder (‖ hacerse realidad)."
"acortar","1. tr. Disminuir la longitud, duración o cantidad de algo. U. t. c. intr. y c. prnl."
