mía,mío,A,P,0,F,S,1,S
mías,mío,A,P,0,F,P,1,S
mío,mío,A,P,0,M,S,1,S
míos,mío,A,P,0,M,P,1,S
nuestra,nuestro,A,P,0,F,S,1,P
nuestras,nuestro,A,P,0,F,P,1,P
nuestro,nuestro,A,P,0,M,S,1,P
nuestros,nuestro,A,P,0,M,P,1,P
suya,suyo,A,P,0,F,S,3,N
suyas,suyo,A,P,0,F,P,3,N
suyo,suyo,A,P,0,M,S,3,N
suyos,suyo,A,P,0,M,P,3,N
tuya,tuyo,A,P,0,F,S,2,S
tuyas,tuyo,A,P,0,F,P,2,S
tuyo,tuyo,A,P,0,M,S,2,S
tuyos,tuyo,A,P,0,M,P,2,S
vuestra,vuestro,A,P,0,F,S,2,P
vuestras,vuestro,A,P,0,F,P,2,P
vuestro,vuestro,A,P,0,M,S,2,P
vuestros,vuestro,A,P,0,M,P,2,P
