achúrakuéra,achúra,N,C,0,P,6,O,menudencias,menudencia,N,C,F,P
aguape,aguape,N,C,0,S,6,O,nenúfar,nenúfar,N,C,M,S
aguapekuéra,aguape,N,C,0,P,6,O,nenúfares,nenúfar,N,C,M,P
aguapeaso,aguapeaso,N,C,0,S,6,O,flamenca,flamenco,N,C,F,S
aguapeasokuéra,aguapeaso,N,C,0,P,6,O,flamencas,flamenco,N,C,F,P
aguapeaso,aguapeaso,N,C,0,S,6,O,flamenco,flamenco,N,C,M,S
aguapeasokuéra,aguapeaso,N,C,0,P,6,O,flamencos,flamenco,N,C,M,P
ahoja,ahoja,N,C,0,S,6,O,frazada,frazada,N,C,F,S
ahojakuéra,ahoja,N,C,0,P,6,O,frazadas,frazada,N,C,F,P
ahoja,ahoja,N,C,0,S,6,O,manta,manta,N,C,F,S
ahojakuéra,ahoja,N,C,0,P,6,O,mantas,manta,N,C,F,P
ahoja,ahoja,N,C,0,S,6,O,manto,manto,N,C,M,S
ahojakuéra,ahoja,N,C,0,P,6,O,mantos,manto,N,C,M,P
ahoja,ahoja,N,C,0,S,6,O,velo,velo,N,C,M,S
ahojakuéra,ahoja,N,C,0,P,6,O,velos,velo,N,C,M,P
ahoja,ahoja,N,C,0,S,6,O,tapa,tapa,N,C,F,S
ahojakuéra,ahoja,N,C,0,P,6,O,tapas,tapa,N,C,F,P
ahoja,ahoja,N,C,0,S,6,O,rebozo,rebozo,N,C,M,S
ahojakuéra,ahoja,N,C,0,P,6,O,rebozos,rebozo,N,C,M,P
ahoja,ahoja,N,C,0,S,6,O,cobija,cobija,N,C,F,S
ahojakuéra,ahoja,N,C,0,P,6,O,cobijas,cobija,N,C,F,P
ahoja,ahoja,N,C,0,S,6,O,colcha,colcha,N,C,F,S
ahojakuéra,ahoja,N,C,0,P,6,O,colchas,colcha,N,C,F,P
ahoja,ahoja,N,C,0,S,6,O,abrigo,abrigo,N,C,M,S
ahojakuéra,ahoja,N,C,0,P,6,O,abrigos,abrigo,N,C,M,P
aho'iha,aho'iha,N,C,0,S,6,O,tapa,tapa,N,C,F,S
aho'ihakuéra,aho'iha,N,C,0,P,6,O,tapas,tapa,N,C,F,P
aho'iha,aho'iha,N,C,0,S,6,O,cobertor,cobertor,N,C,M,S
aho'ihakuéra,aho'iha,N,C,0,P,6,O,cobertores,cobertor,N,C,M,P
ahy'o,ahy'o,N,C,0,S,6,O,garganta,garganta,N,C,F,S
ahy'okuéra,ahy'o,N,C,0,P,6,O,gargantas,garganta,N,C,F,P
ahy'o,ahy'o,N,C,0,S,6,O,laringe,laringe,N,C,F,S
ahy'okuéra,ahy'o,N,C,0,P,6,O,laringes,laringe,N,C,F,P
ahy'o,ahy'o,N,C,0,S,6,O,faringe,faringe,N,C,F,S
ahy'okuéra,ahy'o,N,C,0,P,6,O,faringes,faringe,N,C,F,P
ahy'okuéra,ahy'o,N,C,0,P,6,O,voces,voz,N,C,F,P
ahy'o,ahy'o,N,C,0,S,6,O,voz,voz,N,C,F,S
ahy'opyáu,ahy'opyáu,N,C,0,S,6,O,ronquera,ronquera,N,C,F,S
ahy'opyáukuéra,ahy'opyáu,N,C,0,P,6,O,ronqueras,ronquera,N,C,F,P
ahy'opyáu,ahy'opyáu,N,C,0,S,6,O,afonía,afonía,N,C,F,S
ahy'opyáukuéra,ahy'opyáu,N,C,0,P,6,O,afonías,afonía,N,C,F,P
ahy'opyáu,ahy'opyáu,N,C,0,S,6,O,disfonía,disfonía,N,C,F,S
ahy'opyáukuéra,ahy'opyáu,N,C,0,P,6,O,disfonías,disfonía,N,C,F,P
ahy'otĩ,ahy'otĩ,N,C,0,S,3,N,campanilla,campanilla,N,C,F,S
ahy'otĩnguéra,ahy'otĩ,N,C,0,P,6,N,campanillas,campanilla,N,C,F,P
ahy'otĩ,ahy'otĩ,N,C,0,S,3,N,úvula,úvula,N,C,F,S
ahy'otĩnguéra,ahy'otĩ,N,C,0,P,6,N,úvulas,úvula,N,C,F,P
ahẽ,ahẽ,N,C,0,S,3,N,diablo,diablo,N,C,M,S
ahẽnguéra,ahẽ,N,C,0,P,6,N,diablos,diablo,N,C,M,P
ahẽ,ahẽ,N,C,0,S,3,N,demonio,demonio,N,C,M,S
ahẽnguéra,ahẽ,N,C,0,P,6,N,demonios,demonio,N,C,M,P
ai,ai,N,C,0,S,6,O,llaga,llaga,N,C,F,S
aikuéra,ai,N,C,0,P,6,O,llagas,llaga,N,C,F,P
ai,ai,N,C,0,S,6,O,úlcera,úlcera,N,C,F,S
aikuéra,ai,N,C,0,P,6,O,úlceras,úlcera,N,C,F,P
ai,ai,N,C,0,S,6,O,herida,herida,N,C,F,S
ai,ai,N,C,0,S,6,O,herida,herido,N,C,F,S
aikuéra,ai,N,C,0,P,6,O,heridas,herida,N,C,F,P
ai,ai,N,C,0,S,6,O,quiste,quiste,N,C,M,S
aikuéra,ai,N,C,0,P,6,O,quistes,quiste,N,C,M,P
aiguy'i,aiguy'i,N,C,0,S,6,O,quiste,quiste,N,C,M,S
aiguy'ikuéra,aiguy'i,N,C,0,P,6,O,quistes,quiste,N,C,M,P
ajaka,ajaka,N,C,0,S,6,O,canasto,canasto,N,C,M,S
ajakakuéra,ajaka,N,C,0,P,6,O,canastos,canasto,N,C,M,P
ajaka,ajaka,N,C,0,S,6,O,cesta,cesta,N,C,F,S
ajakakuéra,ajaka,N,C,0,P,6,O,cestas,cesta,N,C,F,P
ajaka,ajaka,N,C,0,S,6,O,cesto,cesto,N,C,M,S
ajakakuéra,ajaka,N,C,0,P,6,O,cestos,cesto,N,C,M,P
ajukue,ajukue,N,C,0,S,6,O,sazón,sazón,N,C,F,S
ajukuekuéra,ajukue,N,C,0,P,6,O,sazones,sazón,N,C,F,P
ajukue,ajukue,N,C,0,S,6,O,maduración,maduración,N,C,F,S
ajukuekuéra,ajukue,N,C,0,P,6,O,maduraciones,maduración,N,C,F,P
ajukuekuéra,ajukue,N,C,0,P,6,O,maduraciónes,maduración,N,C,F,P
ajurigua,ajurigua,N,C,0,S,6,O,collar,collar,N,C,M,S
ajuriguakuéra,ajurigua,N,C,0,P,6,O,collares,collar,N,C,M,P
ajurigua,ajurigua,N,C,0,S,6,O,gargantilla,gargantilla,N,C,F,S
ajuriguakuéra,ajurigua,N,C,0,P,6,O,gargantillas,gargantilla,N,C,F,P
aju'y,aju'y,N,C,0,S,6,O,laurel,laurel,N,C,M,S
aju'ykuéra,aju'y,N,C,0,P,6,O,laureles,laurel,N,C,M,P
ajúra,ajúra,N,C,0,S,6,O,cuello,cuello,N,C,M,S
ajúrakuéra,ajúra,N,C,0,P,6,O,cuellos,cuello,N,C,M,P
ajúra,ajúra,N,C,0,S,6,O,pescuezo,pescuezo,N,C,M,S
