momembykuáva,abortiva,abortivo,A,Q,0,F,S,0,0
momembykuáva,abortivas,abortivo,A,Q,0,F,P,0,0
momembykuáva,abortivo,abortivo,A,Q,0,M,S,0,0
momembykuáva,abortivos,abortivo,A,Q,0,M,P,0,0
poromomembykuáva,abortiva,abortivo,A,Q,0,F,S,0,0
poromomembykuáva,abortivas,abortivo,A,Q,0,F,P,0,0
poromomembykuáva,abortivo,abortivo,A,Q,0,M,S,0,0
poromomembykuáva,abortivos,abortivo,A,Q,0,M,P,0,0
popy'ỹi,abundante,abundante,A,Q,0,C,S,0,0
popy'ỹi,abundantes,abundante,A,Q,0,C,P,0,0
pane,aciaga,aciago,A,Q,0,F,S,0,0
pane,aciagas,aciago,A,Q,0,F,P,0,0
pane,aciago,aciago,A,Q,0,M,S,0,0
pane,aciagos,aciago,A,Q,0,M,P,0,0
ha'eve,activa,activo,A,Q,0,F,S,0,0
ha'eve,activas,activo,A,Q,0,F,P,0,0
ha'eve,activo,activo,A,Q,0,M,S,0,0
ha'eve,activos,activo,A,Q,0,M,P,0,0
kyre'ỹ,activa,activo,A,Q,0,F,S,0,0
kyre'ỹ,activas,activo,A,Q,0,F,P,0,0
kyre'ỹ,activo,activo,A,Q,0,M,S,0,0
kyre'ỹ,activos,activo,A,Q,0,M,P,0,0
ko'ãgagua,actual,actual,A,Q,0,C,S,0,0
ko'ãgagua,actuales,actual,A,Q,0,C,P,0,0
ãgagua,actual,actual,A,Q,0,C,S,0,0
ãgagua,actuales,actual,A,Q,0,C,P,0,0
ypegua,acuática,acuático,A,Q,0,F,S,0,0
ypegua,acuáticas,acuático,A,Q,0,F,P,0,0
ypegua,acuático,acuático,A,Q,0,M,S,0,0
ypegua,acuáticos,acuático,A,Q,0,M,P,0,0
momorãmbyrã,admirable,admirable,A,Q,0,C,S,0,0
momorãmbyrã,admirables,admirable,A,Q,0,C,P,0,0
anga,adoptiva,adoptivo,A,Q,0,F,S,0,0
anga,adoptivas,adoptivo,A,Q,0,F,P,0,0
anga,adoptivo,adoptivo,A,Q,0,M,S,0,0
anga,adoptivos,adoptivo,A,Q,0,M,P,0,0
juruhe'ẽ,adulador,adulador,A,Q,0,M,S,0,0
juruhe'ẽ,aduladora,adulador,A,Q,0,F,S,0,0
juruhe'ẽ,aduladoras,adulador,A,Q,0,F,P,0,0
juruhe'ẽ,aduladores,adulador,A,Q,0,M,P,0,0
kakuaa,adulta,adulto,A,Q,0,F,S,0,0
kakuaa,adultas,adulto,A,Q,0,F,P,0,0
kakuaa,adulto,adulto,A,Q,0,M,S,0,0
kakuaa,adultos,adulto,A,Q,0,M,P,0,0
kakuaagua,adulta,adulto,A,Q,0,F,S,0,0
kakuaagua,adultas,adulto,A,Q,0,F,P,0,0
kakuaagua,adulto,adulto,A,Q,0,M,S,0,0
kakuaagua,adultos,adulto,A,Q,0,M,P,0,0
tyarõ,adulta,adulto,A,Q,0,F,S,0,0
tyarõ,adultas,adulto,A,Q,0,F,P,0,0
tyarõ,adulto,adulto,A,Q,0,M,S,0,0
tyarõ,adultos,adulto,A,Q,0,M,P,0,0
pane,adversa,adverso,A,Q,0,F,S,0,0
pane,adversas,adverso,A,Q,0,F,P,0,0
pane,adverso,adverso,A,Q,0,M,S,0,0
pane,adversos,adverso,A,Q,0,M,P,0,0
moneĩva,afirmativa,afirmativo,A,Q,0,F,S,0,0
moneĩva,afirmativas,afirmativo,A,Q,0,F,P,0,0
moneĩva,afirmativo,afirmativo,A,Q,0,M,S,0,0
moneĩva,afirmativos,afirmativo,A,Q,0,M,P,0,0
ka'avo,afortunada,afortunado,A,Q,0,F,S,0,0
ka'avo,afortunadas,afortunado,A,Q,0,F,P,0,0
ka'avo,afortunado,afortunado,A,Q,0,M,S,0,0
ka'avo,afortunados,afortunado,A,Q,0,M,P,0,0
piro'y,agradable,agradable,A,Q,0,C,S,0,0
piro'y,agradables,agradable,A,Q,0,C,P,0,0
porã,agradable,agradable,A,Q,0,C,S,0,0
porã,agradables,agradable,A,Q,0,C,P,0,0
"okaragua,_okaraygua",agraria,agrario,A,Q,0,F,S,0,0
"okaragua,_okaraygua",agrarias,agrario,A,Q,0,F,P,0,0
"okaragua,_okaraygua",agrario,agrario,A,Q,0,M,S,0,0
"okaragua,_okaraygua",agrarios,agrario,A,Q,0,M,P,0,0
koygua,agreste,agreste,A,Q,0,C,S,0,0
koygua,agrestes,agreste,A,Q,0,C,P,0,0
hái,agria,agrio,A,Q,0,F,S,0,0
