momembykuáva,momembykuáva,A,Q,abortiva,abortivo,A,Q,0,F,S,0,0
momembykuáva,momembykuáva,A,Q,abortivas,abortivo,A,Q,0,F,P,0,0
momembykuáva,momembykuáva,A,Q,abortivo,abortivo,A,Q,0,M,S,0,0
momembykuáva,momembykuáva,A,Q,abortivos,abortivo,A,Q,0,M,P,0,0
poromomembykuáva,poromomembykuáva,A,Q,abortiva,abortivo,A,Q,0,F,S,0,0
poromomembykuáva,poromomembykuáva,A,Q,abortivas,abortivo,A,Q,0,F,P,0,0
poromomembykuáva,poromomembykuáva,A,Q,abortivo,abortivo,A,Q,0,M,S,0,0
poromomembykuáva,poromomembykuáva,A,Q,abortivos,abortivo,A,Q,0,M,P,0,0
popy'ỹi,popy'ỹi,A,Q,abundante,abundante,A,Q,0,C,S,0,0
popy'ỹi,popy'ỹi,A,Q,abundantes,abundante,A,Q,0,C,P,0,0
pane,pane,A,Q,aciaga,aciago,A,Q,0,F,S,0,0
pane,pane,A,Q,aciagas,aciago,A,Q,0,F,P,0,0
pane,pane,A,Q,aciago,aciago,A,Q,0,M,S,0,0
pane,pane,A,Q,aciagos,aciago,A,Q,0,M,P,0,0
ha'eve,ha'eve,A,Q,activa,activo,A,Q,0,F,S,0,0
ha'eve,ha'eve,A,Q,activas,activo,A,Q,0,F,P,0,0
ha'eve,ha'eve,A,Q,activo,activo,A,Q,0,M,S,0,0
ha'eve,ha'eve,A,Q,activos,activo,A,Q,0,M,P,0,0
kyre'ỹ,kyre'ỹ,A,Q,activa,activo,A,Q,0,F,S,0,0
kyre'ỹ,kyre'ỹ,A,Q,activas,activo,A,Q,0,F,P,0,0
kyre'ỹ,kyre'ỹ,A,Q,activo,activo,A,Q,0,M,S,0,0
kyre'ỹ,kyre'ỹ,A,Q,activos,activo,A,Q,0,M,P,0,0
ko'ãgagua,ko'ãgagua,A,Q,actual,actual,A,Q,0,C,S,0,0
ko'ãgagua,ko'ãgagua,A,Q,actuales,actual,A,Q,0,C,P,0,0
ãgagua,ãgagua,A,Q,actual,actual,A,Q,0,C,S,0,0
ãgagua,ãgagua,A,Q,actuales,actual,A,Q,0,C,P,0,0
ypegua,ypegua,A,Q,acuática,acuático,A,Q,0,F,S,0,0
ypegua,ypegua,A,Q,acuáticas,acuático,A,Q,0,F,P,0,0
ypegua,ypegua,A,Q,acuático,acuático,A,Q,0,M,S,0,0
ypegua,ypegua,A,Q,acuáticos,acuático,A,Q,0,M,P,0,0
momorãmbyrã,momorãmbyrã,A,Q,admirable,admirable,A,Q,0,C,S,0,0
momorãmbyrã,momorãmbyrã,A,Q,admirables,admirable,A,Q,0,C,P,0,0
anga,anga,A,Q,adoptiva,adoptivo,A,Q,0,F,S,0,0
anga,anga,A,Q,adoptivas,adoptivo,A,Q,0,F,P,0,0
anga,anga,A,Q,adoptivo,adoptivo,A,Q,0,M,S,0,0
anga,anga,A,Q,adoptivos,adoptivo,A,Q,0,M,P,0,0
juruhe'ẽ,juruhe'ẽ,A,Q,adulador,adulador,A,Q,0,M,S,0,0
juruhe'ẽ,juruhe'ẽ,A,Q,aduladora,adulador,A,Q,0,F,S,0,0
juruhe'ẽ,juruhe'ẽ,A,Q,aduladoras,adulador,A,Q,0,F,P,0,0
juruhe'ẽ,juruhe'ẽ,A,Q,aduladores,adulador,A,Q,0,M,P,0,0
kakuaa,kakuaa,A,Q,adulta,adulto,A,Q,0,F,S,0,0
kakuaa,kakuaa,A,Q,adultas,adulto,A,Q,0,F,P,0,0
kakuaa,kakuaa,A,Q,adulto,adulto,A,Q,0,M,S,0,0
kakuaa,kakuaa,A,Q,adultos,adulto,A,Q,0,M,P,0,0
kakuaagua,kakuaagua,A,Q,adulta,adulto,A,Q,0,F,S,0,0
kakuaagua,kakuaagua,A,Q,adultas,adulto,A,Q,0,F,P,0,0
kakuaagua,kakuaagua,A,Q,adulto,adulto,A,Q,0,M,S,0,0
kakuaagua,kakuaagua,A,Q,adultos,adulto,A,Q,0,M,P,0,0
tyarõ,tyarõ,A,Q,adulta,adulto,A,Q,0,F,S,0,0
tyarõ,tyarõ,A,Q,adultas,adulto,A,Q,0,F,P,0,0
tyarõ,tyarõ,A,Q,adulto,adulto,A,Q,0,M,S,0,0
tyarõ,tyarõ,A,Q,adultos,adulto,A,Q,0,M,P,0,0
pane,pane,A,Q,adversa,adverso,A,Q,0,F,S,0,0
pane,pane,A,Q,adversas,adverso,A,Q,0,F,P,0,0
pane,pane,A,Q,adverso,adverso,A,Q,0,M,S,0,0
pane,pane,A,Q,adversos,adverso,A,Q,0,M,P,0,0
moneĩva,moneĩva,A,Q,afirmativa,afirmativo,A,Q,0,F,S,0,0
moneĩva,moneĩva,A,Q,afirmativas,afirmativo,A,Q,0,F,P,0,0
moneĩva,moneĩva,A,Q,afirmativo,afirmativo,A,Q,0,M,S,0,0
moneĩva,moneĩva,A,Q,afirmativos,afirmativo,A,Q,0,M,P,0,0
ka'avo,ka'avo,A,Q,afortunada,afortunado,A,Q,0,F,S,0,0
ka'avo,ka'avo,A,Q,afortunadas,afortunado,A,Q,0,F,P,0,0
ka'avo,ka'avo,A,Q,afortunado,afortunado,A,Q,0,M,S,0,0
ka'avo,ka'avo,A,Q,afortunados,afortunado,A,Q,0,M,P,0,0
piro'y,piro'y,A,Q,agradable,agradable,A,Q,0,C,S,0,0
piro'y,piro'y,A,Q,agradables,agradable,A,Q,0,C,P,0,0
porã,porã,A,Q,agradable,agradable,A,Q,0,C,S,0,0
porã,porã,A,Q,agradables,agradable,A,Q,0,C,P,0,0
"okaragua,_okaraygua","okaragua,_okaraygua",A,Q,agraria,agrario,A,Q,0,F,S,0,0
"okaragua,_okaraygua","okaragua,_okaraygua",A,Q,agrarias,agrario,A,Q,0,F,P,0,0
"okaragua,_okaraygua","okaragua,_okaraygua",A,Q,agrario,agrario,A,Q,0,M,S,0,0
