las reservas , ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas ,divisas
de ,de
millones ,millones
de ,de
dólares ,dólares
y ,ha
de ,de
mayo ,mayo
equivalían ,equivalían
millones ,millones
de ,de
dólares ,dólares
informó ,omomarandukuri *
hoy ,ko'ára
de ,de
el informe , marandu
de ,de
mayo las reservas ,mayo  ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas ,divisas
de ,de
eran ,oha'emi *
de ,de
millones ,millones
de ,de
dólares ,dólares
divisas ,divisas
poder ,pokatu
de ,de
y ,ha
calculan ,opapa *
dólares ,dólares
estadounidenses ,estadounidenses
y ,ha
su valor depende de el cambio oficial ,i_ kyhyje'ỹ osaingo *  jeva oficial _gua
rublo ,rublo
establece ,omohenda *
las reservas , ñongatupykuéra
oro ,itaju
valoran ,omomba'eguasu *
base ,guapyha
dólares ,dólares
estadounidenses ,estadounidenses
de ,de
oro ,itaju
el presidente , mburuvicha
de ,de
la ,la
cree ,ojerovia *
necesario ,kotevẽpyre
de ,de
para ,opyta *
poder ,pokatu
mano ,avatisoka
de ,de
obra ,mba'apokue
cálculos ,cálculos
de ,de
empleos ,tembiapokuéra
urgió la necesidad de esta medida legal ,ombopya'ekuri *  temikotevẽ ko ta'ã legal _gua
la pequeña , mitã'i
y ,ha
mediana ,mediana
empresa ,empresa
la ,la
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
materia ,mba'e
de ,de
prevención ,prevención
no puede ,ndokuaai *
ser ,ser
tarde ,tarde
meses ,jasykuéra
para ,opyta *
un permiso ,un permiso
de ,de
residencia ,tekoha
de ,de
de ,de
falta ,falta
de ,de
mano ,avatisoka
de ,de
obra ,mba'apokue
en su opinión ,i_ ñeimo'ã _me
como ,akaru *
freno a el crecimiento económico ,ajuruka *  mopu'ã económico _me
esta opinión fue ,ko ñeimo'ã oha'ekuri *
por el presidente , mburuvicha rehe
de ,de
mano ,po
de ,de
obra ,mba'apokue
como ,ha'u *
no ,no
de ,de
las provincias catalanas , teta'ikuéra catalanas
de ,de
contratación ,contratación
de ,de
extranjeros ,pytagua
un sistema ,un sistema
ágil ,rari
y ,ha
rápido ,kyre'ỹ
en el mercado laboral , ñemuha laboral _pe
ante ,ante
de ,de
de ,de
de ,de
y ,ha
representación ,ta'anga
de el gobierno catalán , tekuái catalán _gua
de ,de
alerta ,atõi
sobre ,sobre
en este sentido ,ko andu _pe
instó ,instó
empresarios ,empresarios
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
la ley , tembiapoukapy
de ,de
prevención ,prevención
de ,de
riesgos ,kyhyjerãnguéra
en el trabajo , tembiapo _pe
a su juicio ,iñ_ apytu'ũ _me
no vamos ,ndajahoi *
bien ,bien
lo ,lo
por su parte ,i_ marandu rupi
y ,ha
de ,de
este camino ,ko tape
las pequeñas , mitã'ikuéra
y ,ha
medianas ,medianas
empresas ,empresas
son ,pu
el futuro , tenondegua
de el país , tetã _gua
por su capacidad ,i_ tembiapokuaa rupi
para ,opyta *
con los cambios , ñembyekoviakuéra _ndi
la cena , karu
representa ,omoha'anga *
más ,más
de ,de
han ,oime *
desarrollado ,desarrollado
proyectos ,jejaposekuéra
más ,más
así ,ajapyhykuri *
como ,añemboapyte *
de ,de
más ,más
para ,omombyta *
esos remedios ,umi pohãnguéra
extremos ,extremos
y ,ha
efecto ,ra'ykue
dijo ,ho'ytakuri *
no tiene ,ndoguerekoi *
cuenta el hecho ,opapa *  jehupyre
de ,de
ha ,oĩ *
ha ,oĩ *
cometido ,cometido
graves ,pohýi
violaciones ,ñerairõnguéra
legales ,legales
y ,ha
es ,oha'e *
preciso ,preciso
remedios ,pohanohakuéra
serios ,serios
para ,omombyta *
e ,ha
violaciones ,ñerairõnguéra
similares ,similares
en el futuro , tenondegua _pe
la semana , arapokõindy
pasada ,jehasa
y ,ha
los gobiernos , tekuáikuéra
de ,de
de ,de
los ,los
demandaron ,demandaron
presentaron a el juez ,okuave'ẽkuri *  yvyraja _pe
una versión ,una versión
de ,de
solución ,ry
judicial ,judicial
figura la división de la firma ,figura  ja'opy  teraguapy _gua
dos ,dos
compañías ,compañías
tomaría ,tomaría
posesión ,jereko
por esta firma ,ko teraguapy rupi
y ,ha
usan ,opuru *
ciento ,ciento
de ,de
todo ,todo
el mundo , yvy
y ,ha
la ,la
pasaría ,pasaría
todo ,todo
de ,de
popular ,jehayhu
y ,ha
los ,los
pero ,jepéramo
el juez , yvyrajára
de ,de
abril ,abril
dictaminó ,dictaminó
incurrió ,incurrió
prácticas ,jeporukuaa
de ,de
monopolio ,monopolio
las medidas , ta'ãhakuéra
no son ,ndoha'ei *
severas ,py'ahatã
y ,ha
manifestó ,ho'ytakuri *
favor ,ñepytyvõ
de ,de
la división , ja'opy
de la firma , teraguapy _gua
disminuiría ,disminuiría
su capacidad para ,i_ tembiapokuaa omombyta *
en el mercado , ñemuha _pe
de ,de
convertiría ,convertiría
compañía ,compañía
de el mundo , yvóra _gua
no ganará ,no ganará
no podrá ,ndokuaait *
de ,de
competencia ,competencia
la ,la
la separación , jepe'a
de la firma , teraguapy _gua
es ,oha'e *
de ,de
las ,las
acusa ,acusa
ha ,oĩ *
sus prácticas comerciales ,i_ porukuéra comerciales
y ,ha
ha ,oĩ *
de ,de
ordenadores ,ordenadores
mayor ,tuichave
flexibilidad ,flexibilidad
en la elección , poravoha _pe
de ,de
operación ,operación
y ,ha
más ,más
opciones ,poravokuéra
para el uso ,ojoko *  jepokuaa
de ,de
programas ,programas
su visión ,i_ jecha
sus recursos legales podrían ,i_ poruhakuéra legales podrían
tribunales ,tribunales
de ,de
apelación ,apelación
o ,térã
podrían ,podrían
de ,de
monopolio ,monopolio
el consejo , ñemoñe'ẽ
de ,de
y ,ha
cierres ,cierres
parciales ,pehẽnguéva
de ,de
las ,las
abren ,omboty'o *
hoy ,ko'ára
titula ,titula
primera ,primera
de ,de
gasolineras ,gasolineras
y ,ha
señala ,omoma'ẽ *
de ,de
como ,akaru *
base ,topyta
el informe , marandu
ayer ,ayer
de ,de
la ,la
y ,ha
asegura ,omombarete *
de ,de
batalla ,ñorairõ
de ,de
será ,oha'et *
a la opinión pública , ñeimo'ã jekuaapyre _me
de los riesgos , kyhyjerãnguéra _gua
de un consumo ,un consumo _gua
y ,ha
desbocado ,desbocado
ver ,ver
la urgencia , tagẽ
de ,de
el mercado laboral , ñemuha laboral
y ,ha
de ,de
los peligros , mongyhyjehakuéra
por su parte ,i_ pehẽngue _re
titula ,titula
portada ,portada
de ,de
una nueva ronda ,una ronda pyahu
comercial ,comercial
este año ,ko arajere
gasolineras ,gasolineras
amenazan ,amenazan
cierres ,cierres
parciales ,oĩmba'ỹ
cae ,okukúi *
mayo ,mayo
y ,ha
pierde ,ombyai *
en el año , arajere _pe
de ,de
inversión ,inversión
de ,de
la ,la
bolsas ,sapikuakuéra
española ,española
modelos ,modelos
más ,más
europeos ,europeos
y ,ha
considera estos cambios lógicos ,considera ko'ã jevakuéra lógicos
resulta ,resulta
razonable ,razonable
sus normas ,i_ tekorãnguéra
de ,de
contratación ,contratación
gestores ,gestores
inversores ,inversores
y ,ha
operadores ,operadores
señala ,omoma'ẽ *
portada ,portada
gasolineras ,gasolineras
protestan ,ombohovái *
contra ,contra
de ,de
la ,la
comercio ,ñemu
electrónico ,electrónico
supera ,supera
mitiga las pérdidas ,ombovevúi *  jerokañynguéra
y ,ha
cierra ,omboty *
de ,de
de ,de
halagüeñas ,halagüeñas
de el informe , marandu _gui
de ,de
la ,la
puede ,opojái *
este mismo año ,ko arajere ae
de ,de
todo ,todo
hoy ,ko'ára
una maratoniana negociación ,una negociación maratoniana
de ,de
sobre ,sobre
la ,la
de ,de
desempleo ,desempleo
el interés , kuaase
de ,de
de ,de
las ,las
cinco ,cinco
grandes ,erádo
centrales ,apytere
sindicales ,sindicales
proyecto ,ñeimo'ã
de ,de
protocolo ,protocolo
de ,de
acuerdo ,oñoñe'ẽ
los agentes sociales volverán , tahachikuéra jojapy ojeret *
reafirma la relación ,reafirma  jokuaa
de ,de
desempleo ,desempleo
y ,ha
la ,la
pero ,jepéramo
progresiva ,progresiva
como ,añemboapyte *
de ,de
de ,de
el proyecto , jejapose
de ,de
empresas ,empresas
francesas ,francesas
importante ,importante
no da ,nombojárai *
respuesta ,mbohovái
no cobran una indemnización ,no cobran una indemnización
de ,de
el documento propone , kuatia propone
ayuda ,ñepysyrõ
para ,omombyta *
a el empleo , tembiapo _pe
a las personas , avakuéra _pe
las ,las
listas de el paro ,listas  pytu'u _gui
de ,de
enero ,enero
de ,de
de ,de
indemnización ,indemnización
y ,ha
de ,de
empleo ,tembiapo
firma ,teraguapy
da ,ombojára *
derecho ,akatúa
subsidio de el paro ,subsidio  pytu'u _gui
y ,ha
a los servicios , pytyvõnguéra _pe
de esta forma ,ko ysaja _gui
es la firma ,oha'e *  teraguapy
de ,de
da ,ombojára *
derecho ,karẽ'y
de ,de
subsidios ,pytyvõnguéra
y ,ha
no ,no
el simple hecho , jehupyre ndahasýi
de ,de
haber ,haber
administra ,administra
de ,de
desempleo ,desempleo
desempleado ,desempleado
búsqueda ,teka
activa ,ha'eve
de ,de
empleo ,mba'apoha
a los retos profesionales , ja'okuéra profesionales _pe
y ,ha
entrevistas ,ñomongetakuéra
bimensuales ,bimensuales
de esos compromisos ,umi poroapytĩnguéra _gua
sería ,sería
reducciones ,ñemomichĩnguéra
en el subsidio , pytyvõ _me
de ,de
desempleo ,desempleo
