,,D,A,0,0,0,0,0,0,0,0,el,el,D,A,0,M,S,0
,,D,A,0,0,0,0,0,0,0,0,la,el,D,A,0,F,S,0
,,D,A,0,0,0,0,0,0,0,0,las,el,D,A,0,F,P,0
,,D,A,0,0,0,0,0,0,0,0,los,el,D,A,0,M,P,0
amo,amo,D,D,0,0,S,0,0,0,0,P,aquel,aquel,D,D,0,M,S,0
amo,amo,D,D,0,0,S,0,0,0,0,P,aquella,aquel,D,D,0,F,S,0
aipo,aipo,D,D,0,0,S,0,0,0,0,A,aquel,aquel,D,D,0,M,S,0
aipo,aipo,D,D,0,0,S,0,0,0,0,A,aquella,aquel,D,D,0,F,S,0
ako,ako,D,D,0,0,S,0,0,0,0,A,aquel,aquel,D,D,0,M,S,0
ako,ako,D,D,0,0,S,0,0,0,0,A,aquella,aquel,D,D,0,F,S,0
umi,umi,D,D,0,0,P,0,0,0,0,0,aquellas,aquel,D,D,0,F,P,0
umi,umi,D,D,0,0,P,0,0,0,0,0,aquellos,aquel,D,D,0,M,P,0
pe,pe,D,D,0,0,S,0,0,0,0,0,P,esa,ese,D,D,0,F,S,0
ku,ku,D,D,0,0,S,0,0,0,0,A,esa,ese,D,D,0,F,S,0
upe,upe,D,D,0,0,S,0,0,0,0,A,esa,ese,D,D,0,F,S,0
umi,umi,D,D,0,0,P,0,0,0,0,0,esas,ese,D,D,0,F,P,0
ku,ku,D,D,0,0,S,0,0,0,0,A,ese,ese,D,D,0,M,S,0
upe,upe,D,D,0,0,S,0,0,0,0,A,ese,ese,D,D,0,M,S,0
pe,pe,D,D,0,0,S,0,0,0,0,P,ese,ese,D,D,0,M,S,0
umi,umi,D,D,0,0,P,0,0,0,0,0,esos,ese,D,D,0,M,P,0
ko,ko,D,D,0,0,S,0,0,0,0,P,esta,este,D,D,0,F,S,0
ã,ã,D,D,0,0,P,0,0,0,P,0,estas,este,D,D,0,F,P,0
ko'ã,ko'ã,D,D,0,0,P,0,0,0,P,0,estas,este,D,D,0,F,P,0
ko,ko,D,D,0,0,S,0,0,0,P,0,este,este,D,D,0,M,S,0
ã,ã,D,D,0,0,P,0,0,0,P,0,estos,este,D,D,0,M,P,0
ko'ã,ko'ã,D,D,0,0,P,0,0,0,P,0,estos,este,D,D,0,M,P,0
che,che,D,P,1,C,N,S,0,0,0,0,mi,mi,D,P,1,C,S,S
che,che,D,P,1,C,N,S,0,0,0,0,mis,mi,D,P,1,C,P,S
ñande,ñande,D,P,1,C,N,P,I,O,0,0,nuestra,nuestro,D,P,1,F,S,P
ñande,ñande,D,P,1,C,N,P,I,O,0,0,nuestras,nuestro,D,P,1,F,P,P
ñande,ñande,D,P,1,C,N,P,I,O,0,0,nuestro,nuestro,D,P,1,M,S,P
ñande,ñande,D,P,1,C,N,P,I,O,0,0,nuestros,nuestro,D,P,1,M,P,P
ñane,ñande,D,P,1,C,N,P,I,N,0,0,nuestra,nuestro,D,P,1,F,S,P
