las reservas , ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas ,divisas
de ,de
rusia ,rusia
subieron ,ojupikuri *
millones ,millones
de ,de
dólares ,dólares
y ,ha
de ,de
mayo ,mayo
equivalían ,equivalían
millones ,millones
de ,de
dólares ,dólares
informó ,omomarandukuri *
hoy ,ko'ára
de el banco central , guapyha apytere _gua
el informe , marandu
de ,de
mayo las reservas ,mayo  ñongatupykuéra
de ,de
oro ,itaju
y ,ha
divisas de el banco central ,divisas  apyka apytere _gui
eran ,oha'emi *
de ,de
millones ,millones
de ,de
dólares ,dólares
divisas ,divisas
poder ,katu
de el banco central , apyka apytere _gua
y ,ha
de ,de
finanzas ,finanzas
calculan ,opapa *
dólares ,dólares
estadounidenses ,estadounidenses
y ,ha
su valor depende de el cambio oficial ,i_ kyhyje'ỹ osaingo *  ñembyekovia oficial _gua
rublo ,rublo
establece el banco central ,omohenda *  apyka apytere
las reservas , ñongatupykuéra
oro ,itaju
valoran ,omomba'eguasu *
base ,topyta
dólares ,dólares
estadounidenses ,estadounidenses
de ,de
oro ,itaju
el presidente , mburuvicha
de ,de
la ,la
cree ,oimo'ã *
el gobierno , tekuái
de ,de
para ,ojoko *
poder ,pokatu
mano ,avatisoka
de ,de
obra ,tembiapokue
cálculos ,cálculos
de el departamento , teta'i _gui
de ,de
trabajo ,mba'apo
empleos ,mba'apokuéra
urgió la necesidad de esta medida legal ,omoragẽkuri *  hýi ko ta'ã legal _gui
la pequeña , mitã'i
y ,ha
mediana ,mediana
empresa ,empresa
la ,la
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
materia ,mba'e
de ,de
prevención ,prevención
no puede ,ndokatui *
ser ,ser
tarde ,tarde
meses ,jasykuéra
para ,omombyta *
un permiso ,un permiso
de ,de
residencia ,jeikoha
de ,de
de ,de
falta ,pokã
de ,de
mano ,avatisoka
de ,de
obra ,japopyre
en su opinión ,i_ ñeimo'ã _me
como ,ajepy'ajoko *
freno a el crecimiento económico ,ajuruka *  mopu'ã económico _me
esta opinión fue ,ko ñeimo'ã ohokuri *
por el presidente , mburuvicha rupi
de ,de
mano ,avatisoka
de ,de
obra ,mba'apokue
como ,ha'u *
no ,no
de ,de
las provincias catalanas , teta'ikuéra catalanas
de ,de
contratación ,contratación
de ,de
extranjeros ,extranjeros
un sistema ,un sistema
y ,ha
rápido ,rápido
en el mercado laboral , ñemuha laboral _pe
ante ,ante
de ,de
ciencia ,emba'ekuaa
y ,ha
tecnología ,tecnología
de ,de
de el gobierno , porukái _gua
julia ,julia
garcía ,garcía
y ,ha
representación ,ta'anga
de el gobierno catalán , tekuái catalán _gua
de ,de
alerta ,atõi
sobre ,sobre
en este sentido ,ko andu _pe
instó ,instó
empresarios ,empresarios
sindicatos ,sindicatos
y ,ha
administraciones ,administraciones
la ley , tembiapoukapy
de ,de
prevención ,prevención
de ,de
riesgos ,kyhyjerãnguéra
en el trabajo , tembiapo _pe
a su juicio ,iñ_ apytu'ũ _me
no vamos ,ndejahai *
bien ,bien
lo ,lo
por su parte ,i_ marandu _re
investigación ,investigación
y ,ha
desarrollo ,ñakãrapu'ã
y ,ha
de el gobierno , porukái _gui
este camino ,ko tape
las pequeñas , mitã'ikuéra
y ,ha
medianas ,medianas
empresas ,empresas
son ,pu
el futuro , tenondegua
de el país , tetã _gui
por su capacidad ,i_ ha'eve _re
para ,ojoko *
con los cambios , jevakuéra ndive
la cena , karu
representa ,omoha'anga *
más ,más
de ,de
han ,oĩ *
desarrollado ,desarrollado
proyectos ,jejaposekuéra
más ,más
así ,apyhykuri *
como ,akaru *
de ,de
economía ,economía
vanguardia ,tenondegua
más ,más
para ,ojoko *
esos remedios ,umi pohãnguéra
extremos ,tĩnguéra
y ,ha
efecto ,ra'ykue
el departamento , teta'i
de ,de
justicia ,tekojoja
dijo ,ho'ytakuri *
no tiene ,ndorekoi *
cuenta el hecho ,omombe'u *  jehupyre
de ,de
ha ,oime *
ha ,oime *
cometido ,cometido
violaciones ,ñerairõnguéra
y ,ha
es ,oha'e *
preciso ,akotevẽ *
remedios ,pohãnguéra
para ,ojoko *
e ,ha
violaciones ,ñerairõnguéra
en el futuro , tenonderã _me
la semana , arapokõindy
pasada ,jehasa
el departamento , teta'i
de ,de
justicia ,tekojoja
y ,ha
los gobiernos , porukáikuéra
de ,de
de ,de
los ,los
demandaron ,demandaron
presentaron a el juez ,orukuri *  yvyrajára _pe
una versión ,una versión
de ,de
solución ,ry
figura la división de la firma ,figura  ñemboja'o  teraguapy _gui
dos ,dos
compañías ,compañías
tomaría ,tomaría
posesión ,jereko
por esta firma ,ko teraguapy rupi
y ,ha
usan ,opuru *
ciento ,ciento
de ,de
todo ,todo
el mundo , yvóra
y ,ha
la ,la
pasaría ,pasaría
todo ,todo
de ,de
office ,office
suite ,suite
y ,ha
los ,los
pero ,jepéramo
el juez , yvyrajára
de ,de
abril ,abril
dictaminó ,dictaminó
incurrió ,incurrió
prácticas ,jepokuaakuéra
de ,de
monopolio ,monopolio
las medidas , ta'ãhakuéra
por el gobierno , tekuái rehe
no son ,ndoha'ei *
y ,ha
manifestó ,ho'ytakuri *
favor ,ñepytyvõ
de ,de
la división , ñepehẽ'a
de la firma , teraguapy _gui
disminuiría ,disminuiría
su capacidad para ,i_ tembiapokuaa ojoko *
en el mercado , ñemuha _pe
de el gobierno , porukái _gui
convertiría ,convertiría
compañía ,compañía
de el mundo , arapy _gua
no ganará ,no ganará
no podrá ,ndokuaait *
de ,de
competencia ,competencia
la ,la
la separación , jopoi
de la firma , teraguapy _gui
es ,oha'e *
de ,de
las ,las
acusa ,acusa
ha ,oime *
sus prácticas comerciales ,i_ jepokuaakuéra comerciales
y ,ha
ha ,oime *
de ,de
ordenadores ,ordenadores
mayor ,mayor
flexibilidad ,flexibilidad
en la elección , poravoha _pe
de ,de
operación ,operación
y ,ha
más ,más
opciones ,poravokuéra
para el uso ,opyta *  jepokuaa
de ,de
programas ,programas
su visión ,i_ jecha
sus recursos legales podrían ,i_ jerekohakuéra legales podrían
tribunales ,tribunales
de ,de
apelación ,apelación
o ,térã
podrían ,podrían
de ,de
justicia ,tekojoja
de ,de
monopolio ,monopolio
el consejo , ñemoñe'ẽ
de ,de
y ,ha
cierres ,cierres
parciales ,parciales
de ,de
las ,las
abren ,ope'a *
hoy ,ko'ára
titula ,titula
primera ,primera
el consejo , ñemoñe'ẽ
de ,de
de ,de
y ,ha
señala ,omoma'ẽ *
de ,de
como ,akaru *
base ,topyta
el informe , marandu
ayer ,ayer
de ,de
la ,la
y ,ha
asegura ,omohatã *
de ,de
batalla ,ñorairõ
de ,de
aznar ,aznar
será ,oha'et *
a la opinión pública , ñeimo'ã pavẽ _me
de los riesgos , kyhyjerãnguéra _gua
de un consumo ,un consumo _gua
y ,ha
desbocado ,desbocado
ver ,ver
la urgencia , tagẽ
de ,de
el mercado laboral , ñemuha laboral
y ,ha
de ,de
los peligros , ñemongyhyjekuéra
por su parte ,i_ pesẽngue rehe
cinco ,cinco
titula ,titula
portada ,portada
de ,de
una nueva ronda ,una ronda pyahu
este año ,ko arajere
cierres ,cierres
parciales ,parciales
la bolsa cae , sapikua okúi *
mayo ,mayo
y ,ha
pierde ,ombyai *
en el año , arajere _pe
bruselas ,bruselas
de ,de
inversión ,inversión
de ,de
la ,la
bolsas ,sapikuakuéra
española ,karaiñe'ẽ
modelos ,modelos
más ,más
europeos ,europeos
y ,ha
considera estos cambios lógicos ,considera ko'ã jevakuéra lógicos
resulta ,resulta
las bolsas europeas , sapikuakuéra europeas
sus normas ,i_ tekorãnguéra
de ,de
contratación ,contratación
gestores ,gestores
inversores ,inversores
y ,ha
operadores ,operadores
de los negocios , ñemukuéra _gui
señala ,omoma'ẽ *
portada ,portada
contra ,contra
de ,de
la ,la
el comercio electrónico supera , ñemu electrónico supera
mitiga las pérdidas ,ombovevúi *  jerokañynguéra
y ,ha
cierra ,omboty *
de ,de
de ,de
de el informe , marandu _gui
de ,de
la ,la
puede ,okuaa *
este mismo año ,ko arajere ae
de ,de
todo ,todo
hoy ,ko'ára
una maratoniana negociación ,una negociación maratoniana
de ,de
sobre ,sobre
la ,la
de ,de
desempleo ,desempleo
el interés , kuaase
de ,de
de ,de
las ,las
cinco ,cinco
grandes ,grandes
centrales ,centrales
proyecto ,ñeimo'ã
de ,de
protocolo ,protocolo
de ,de
acuerdo ,ñe'ẽjoaju
los agentes sociales volverán , tahachikuéra jojapy ojevyt *
reafirma la relación ,reafirma  jokuaa
de ,de
desempleo ,desempleo
y ,ha
la ,la
pero ,jepéramo
como ,akaru *
confederación ,confederación
francesa ,francesa
de el trabajo , mba'apo _gua
fuerza ,mbaretekue
obrera ,mba'apohára
confederación ,confederación
francesa ,francesa
de ,de
trabajadores ,mba'apohárakuéra
cristianos ,cristianos
y ,ha
confederación ,confederación
francesa ,francesa
de ,de
directivos ,directivos
de ,de
empresas ,empresas
de el trabajo , ñemba'apo _gua
el proyecto , jejapose
por el movimiento , jeku'e rupi
de ,de
empresas ,empresas
francesas ,francesas
no da ,nombojárai *
respuesta ,mbohovái
no cobran una indemnización ,no cobran una indemnización
de ,de
el documento propone , kuatia propone
contrato ,contrato
ayuda ,ñepysyrõ
para ,opyta *
a el empleo , mba'apo _pe
a las personas , avakuéra _pe
las ,las
listas de el paro ,listas  pytu'u _gui
de ,de
enero ,enero
de ,de
de ,de
indemnización ,indemnización
y ,ha
de ,de
empleo ,mba'apo
firma ,teraguapy
da ,ombojára *
